Code,Gender,Position,Name
101,1,10,Anton(AI)
102,2,10,Anna(AI)
111,1,11,Duncan(AI)
112,2,11,Sophie(AI)
121,1,12,Martin(AI)
122,2,12,Grace(AI)
131,1,13,Harold(AI)
132,2,13,Emma(AI)
141,1,14,Terry(AI)
142,2,14,Chatterley(AI)
201,1,20,Micheal(AI)
202,2,20,Lena(AI)
211,1,21,David(AI)
212,2,21,Jasmine(AI)
221,1,22,Jay(AI)
222,2,22,Yuri(AI)
231,1,23,Ryan(AI)
232,2,23,Miky(AI)
241,1,24,Tom(AI)
242,2,24,Paige(AI)
301,1,30,Nadim(AI)
302,2,30,Jenna(AI)
311,1,31,Craig(AI)
312,2,31,Tina(AI)
321,1,32,Harry(AI)
322,2,32,Molly(AI)
331,1,33,Brown(AI)
332,2,33,Shelly(AI)
401,1,40,Ro Seungpil(AI)
402,2,40,Alexa(AI)
