Code,TipText
10000,You could have matches with AI players.
10001,To chat with your club members just type // (double slash) before your messages.
10002,"Your club will be removed automatically, when your club member is under 5. "
10003,When you reach level 30 you can found your own club! 
10004,You can take a screen shot if you press the Print screen key. It will be saved in the ScreenShot. 
10005,"If the match host doesn't write anything in the waiting chat for 5 minutes, he/she will be kicked out of the match. "
10006,You will go into advance position when you reached level 20.
10007,"If you win a match allowing no more than one goal, defenders get extra experience and points! "
10008,"The more players take part in a game, the more experience and points you can gain!"
10009,"When an opponent is shooting, getting closed and disturbing him could reduce the power of the shot. "
10010,It is easier to score goals when you have a no mark chance. 
10011,Midfielders are specialists of short and through passes. Defenders are best for long passes.  
10012,"Your goalkeeper never pass the ball to you, if you are in your goal area!"
10013,"The maximum club members are 30. If you want to increase the maximum number of your club member, you should buy a special item. "
10014,"Be able to enter their own goal area, but cannot enter the opponents goal area."
10015,"If you are not facing the opponents goal when kick, your shot will be less powerful."
10016,"Be able to control the ball speed of shooting, passing and through passing by the gauge on the left bottom. "
10017,"While playing a game, press H to see the in-game help. "
