Index,Code,Type,Order,Design,Color,Name,Rate,Wear,Company,Gender,Brand,Divest,Limit,Exchange,Inchant,Sum,Gift,Parcel,Free,New,Event,Amount,Discount,Sell,Cash,Point,Option1,Option2,Option3,Option4,Option5,IconFile10,IconFile20,MeshFile10,MeshFile20,EnvironFile10,EnvironFile20,TextureFile11,TextureFile12,TextureFile13,TextureFile21,TextureFile22,Description
0,101101111,101,101,1,11,Man Face A,0,0,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,1000,0,0,0,0,0,Face11_101_D1_C11,-,Face11_101,-,-,-,Face11_101_D1_C11,-,-,-,-,[Usage] Put on / Take off an item.
1,101101112,101,101,1,12,Man Face B,0,0,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,1000,0,0,0,0,0,Face12_101_D1_C12,-,Face12_101,-,-,-,-,Face12_101_D1_C12,-,-,-,[Usage] Put on / Take off an item.
2,101101113,101,101,1,13,Man Face C,0,0,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,1000,0,0,0,0,0,Face13_101_D1_C13,-,Face13_101,-,-,-,-,-,Face13_101_D1_C13,-,-,[Usage] Put on / Take off an item.
3,101101121,101,101,1,21,Woman Face A,0,0,0,2,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,1000,0,0,0,0,0,-,Face21_101_D1_C21,-,Face21_101,-,-,-,-,-,Face21_101_D1_C21,-,[Usage] Put on / Take off an item.
4,101101122,101,101,1,22,Woman Face B,0,0,0,2,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,1000,0,0,0,0,0,-,Face22_101_D1_C22,-,Face22_101,-,-,-,-,-,-,Face22_101_D1_C22,[Usage] Put on / Take off an item.
5,102101101,102,101,1,1,Basic Shaggy,20,1,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,2000,0,0,0,0,0,Hair11_101_D1_C1,-,Hair10_101,-,-,-,Hair11_101_D1_C1,Hair11_101_D1_C1,Hair11_101_D1_C1,-,-,[Usage] Put on / Take off an item.
6,102102101,102,102,1,1,Short Mohican,20,1,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,3000,0,0,0,0,0,Hair11_102_D1_C1,-,Hair10_102,-,-,-,Hair11_102_D1_C1,Hair11_102_D1_C1,Hair11_102_D1_C1,-,-,[Usage] Put on / Take off an item.
7,102103101,102,103,1,1,Natural Shaggy,20,1,0,2,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,2000,0,0,0,0,0,-,Hair21_103_D1_C1,-,Hair20_103,-,-,-,-,-,Hair21_103_D1_C1,Hair21_103_D1_C1,[Usage] Put on / Take off an item.
8,102104101,102,104,1,1,Medium Layer Cut,20,1,0,2,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,3000,0,0,0,0,0,-,Hair21_104_D1_C1,-,Hair20_104,-,-,-,-,-,Hair21_104_D1_C1,Hair21_104_D1_C1,[Usage] Put on / Take off an item.
9,102105101,102,105,1,1,Brown Ponytail,20,1,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,1500,0,0,0,0,0,Hair11_105_D1_C1,-,Hair10_105,-,-,-,Hair11_105_D1_C1,Hair11_105_D1_C1,Hair11_105_D1_C1,-,-,[Usage] Put on / Take off an item.
10,102106101,102,106,1,1,Unbalanced Cut,20,1,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,3000,0,0,0,0,0,Hair11_106_D1_C1,-,Hair10_106,-,-,-,Hair11_106_D1_C1,Hair11_106_D1_C1,Hair11_106_D1_C1,-,-,[Usage] Put on / Take off an item.
11,102107101,102,107,1,1,Blond Beanie,20,1,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,2000,0,0,0,0,0,Hair11_107_D1_C1,-,Hair10_107,-,-,-,Hair11_107_D1_C1,Hair11_107_D1_C1,Hair11_107_D1_C1,-,-,[Usage] Put on / Take off an item.
12,102108101,102,108,1,1,Jaggy Short Cut,20,1,0,2,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,3000,0,0,0,0,0,-,Hair21_108_D1_C1,-,Hair20_108,-,-,-,-,-,Hair21_108_D1_C1,Hair21_108_D1_C1,[Usage] Put on / Take off an item.
13,102109101,102,109,1,1,Soft Band Aid,20,1,0,1,0,0,0,120,0,0,0,0,0,0,0,65535,100,2,1000,3000,0,0,0,0,0,Hair11_109_D1_C1,-,Hair10_109,-,-,-,Hair11_109_D1_C1,Hair11_109_D1_C1,Hair11_109_D1_C1,-,-,[Usage] Put on / Take off an item.
