Index,Code,Title,Price,Usual,Special,Hair,Tattoo,Shirts,Pants,Glove,Shoes,Socks,Eye,Ear,Neck,Wrist,Arm,Knee
0,100,Running,200,2|3|4|5|6|7,4|5|6|7|8|9,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
1,101,Dribbling,200,2|3|4|5|6|7,4|5|6|7|8|9,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
2,102,Agility,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
3,103,Stamina,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
4,104,Jump,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
5,105,Struggling,200,2|3|4|5|6|7,4|5|6|7|8|9,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10
6,106,Crossing,200,2|3|4|5|6|7,4|5|6|7|8|9,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
7,107,Short pass,200,2|3|4|5|6|7,4|5|6|7|8|9,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
8,108,Long pass,200,2|3|4|5|6|7,4|5|6|7|8|9,0|0|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
9,109,Heading,200,2|3|4|5|6|7,4|5|6|7|8|9,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,50|40|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10,0|0|30|20|10
