Index,Code,Name,Initial,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,Total,Auto0,Auto1,Auto2,Plus0,Plus1,Plus2,Minus0,Minus1,Description
0,-1,종류,,달리기,드리블,순발력,지구력,탄력,몸싸움,크로스,숏패스,롱패스,헤딩슛,단걸슛,중걸슛,키핑,스틸,태클,캐치,펀치,방어,토탈,자성1,자성2,자성3,추가0,추가1,추가2,제거,제거,설명
1,50,초보자,NB,95,85,80,65,80,80,80,80,80,85,85,85,70,85,85,0,0,0,1220,-1,-1,-1,0,0,0,0,0,-
2,10,공격수,FW,80,35,30,25,35,35,60,60,50,35,35,20,30,20,15,0,0,0,565,1,10,12,0,0,0,0,0,-
3,11,스트라이커,ST,80,45,30,25,45,35,60,60,50,40,55,10,40,20,5,0,0,0,600,2,9,10,4,9,10,11,14,"최전방 공격수로 슈팅능력과 제공권 장악으로
공격에 마침표를 찍는 공격수"
4,12,센터포워드,CF,80,45,30,25,45,35,60,65,50,35,55,10,40,20,5,0,0,0,600,1,10,12,4,7,10,11,14,"2선공격을 책임지는 선수로 루즈볼 해결이나
수비를 흘끌어내는것과 같이 킥스에선
쉐도우 스트라이커로 불리는 포지션"
5,13,윙포워드,WF,80,45,30,25,35,40,70,60,50,35,45,10,50,20,5,0,0,0,600,1,2,10,5,6,12,11,14,"중앙에 있는 공격수에게 크로스나 직접 기회가 오면
드리블을 이용해 득점능력을 갖춘 포지션"
6,14,쉐도우스트라이커,SS,80,45,30,25,35,35,60,70,50,35,55,25,30,20,5,0,0,0,600,3,10,11,7,10,11,12,14,-
7,20,미드필더,MF,80,30,35,30,25,30,60,65,60,20,20,35,30,25,20,0,0,0,565,2,11,13,0,0,0,0,0,-
8,21,공격형미드필더,AM,80,30,45,40,15,30,60,65,60,20,25,55,30,35,10,0,0,0,600,1,11,12,3,10,11,4,14,"공격수에게 결정적 패스나 자신이 직접득점을
할 수 있는 공격적인 포지션"
9,22,중앙미드필더,CM,80,20,45,30,35,30,60,75,60,20,20,50,30,35,10,0,0,0,600,3,11,13,4,7,11,1,14,"상대를 돌파하고 최전방으로 연결시키는게
주임무인 포지션"
10,23,사이드미드필더,SM,80,30,55,35,25,30,70,65,60,10,20,45,30,35,10,0,0,0,600,1,11,13,2,3,6,9,14,"중앙에서 넓은 시야를 바탕으로 패싱과 게임을
조율하는 능력이 필요한 포지션"
11,24,수비형미드필더,DM,80,30,55,30,25,30,60,65,60,20,10,35,30,40,30,0,0,0,600,3,13,14,2,13,14,10,11,"수비에 치중하며 강력한 몸싸움과 체력 밀착마크와
볼배급의 능력이 필요한 포지션 "
12,30,수비수,DF,80,20,30,35,35,40,50,55,70,25,15,20,20,35,35,0,0,0,565,3,13,14,0,0,0,0,0,-
13,31,스위퍼,SW,80,20,30,45,35,50,50,55,75,25,5,10,20,55,45,0,0,0,600,2,4,14,5,8,13,10,11,"뛰어난 체력을 바탕으로 활발한 오버랩핑과
크로스를 주무기로 하는 수비수"
14,32,중앙백,CB,80,20,30,55,40,40,50,55,70,25,5,10,20,55,45,0,0,0,600,2,5,14,3,4,13,10,11,"안정적인 수비능력과 제공권을 바탕으로
침착한 판단력이 필요한 포지션"
15,33,스토퍼,SP,80,20,30,45,40,50,50,55,70,25,5,10,20,55,45,0,0,0,600,2,3,14,4,5,13,10,11,"최후방 수비수로 골로 연결되기전 뺏거나 걷어내는
임무로 강한 투지를 필요로 하는 포지션"
16,40,골키퍼,GK,60,20,45,15,20,10,15,55,75,5,15,35,40,30,20,80,80,80,565,15,16,17,0,0,0,0,0,-
