Code,POSITION,LEVEL,SKILLCODE,Description,RUN,DRIBBLE,QUICK,STAMINA,ELASTICITY,BODYCHECK,CROSS,SHORTPASS,LONGPASS,HEADSHOOT,SHORTSHOOT,LONGSHOOT,KEEPING,STEAL,TACKLE,CATCH,PUNCH,GUARD,MOVE,BODY,PASS,SHOOT,DEFENSE,GOALKEEP,TALENT
10001,0,1,0,Æ©Åä¸®¾ó1¿ë Å©·Î½º·Îº¿,80,80,80,80,80,80,80,80,80,80,100,80,80,80,80,80,80,80,0,0,0,0,0,0,0
10002,0,2,0,Æ©Åä¸®¾ó1¿ë GK °ñ¸ø¸·À½,80,80,80,80,80,80,80,80,80,80,80,100,80,80,80,0,0,0,0,0,0,0,0,0,0
10003,0,3,0,-,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0
10004,0,4,0,Æ©Åä¸®¾ó3¿ë,0,0,80,80,80,80,80,80,80,80,150,80,80,80,80,80,80,80,0,0,0,0,0,0,0
10005,0,5,0,Æ©Åä¸®¾ó1¿ë Å©·Î½º·Îº¿,80,80,80,80,80,80,80,80,80,80,100,80,80,80,80,80,80,80,0,0,0,0,0,0,0
10006,0,6,0,Æ©Åä¸®¾ó1¿ë Å©·Î½º·Îº¿,80,80,80,80,80,80,80,80,80,80,100,80,80,80,80,80,80,80,0,0,0,0,0,0,0
10007,0,7,0,-,80,80,80,80,80,80,80,80,80,80,80,100,80,80,80,80,80,80,0,0,0,0,0,0,0
10008,0,8,0,-,80,80,80,80,80,80,70,80,70,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0
10009,0,9,0,Æ©Åä¸®¾ó3¿ë,0,0,80,80,80,80,80,80,80,80,150,80,80,80,80,80,80,80,0,0,0,0,0,0,0
11001,10,1,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11002,10,2,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11003,10,3,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11004,10,4,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11005,10,5,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11006,10,6,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11007,10,7,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11008,10,8,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11009,10,9,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11010,10,10,0,-,82,47,32,27,37,37,62,62,52,37,47,22,42,22,17,0,0,0,0,0,0,0,0,0,0
11011,10,11,0,-,82,48,32,27,37,37,62,62,52,37,48,22,43,22,17,0,0,0,0,0,0,0,0,0,0
11012,10,12,0,-,83,50,33,28,38,38,63,63,53,38,50,23,45,23,18,0,0,0,0,0,0,0,0,0,0
11013,10,13,0,-,83,51,33,28,38,38,63,63,53,38,51,23,46,23,18,0,0,0,0,0,0,0,0,0,0
11014,10,14,0,-,84,53,34,29,39,39,64,64,54,39,53,24,48,24,19,0,0,0,0,0,0,0,0,0,0
11015,10,15,0,-,85,55,35,30,40,40,65,65,55,40,55,25,50,25,20,0,0,0,0,0,0,0,0,0,0
11016,10,16,0,-,86,57,36,31,41,41,66,66,56,41,57,26,52,26,21,0,0,0,0,0,0,0,0,0,0
11017,10,17,0,-,86,58,36,31,41,41,66,66,56,41,58,26,53,26,21,0,0,0,0,0,0,0,0,0,0
11018,10,18,0,-,87,60,37,32,42,42,67,67,57,42,60,27,55,27,22,0,0,0,0,0,0,0,0,0,0
11019,10,19,0,-,87,61,37,32,42,42,67,67,57,42,61,27,56,27,22,0,0,0,0,0,0,0,0,0,0
11020,10,20,0,-,89,64,39,34,44,44,69,69,59,44,65,29,59,29,24,0,0,0,0,0,0,0,0,0,0
11021,10,21,0,-,89,65,39,34,44,44,69,69,59,44,66,29,60,29,24,0,0,0,0,0,0,0,0,0,0
11022,10,22,0,-,90,67,40,35,45,45,70,70,60,45,68,30,62,30,25,0,0,0,0,0,0,0,0,0,0
11023,10,23,0,-,90,68,40,35,45,45,70,70,60,45,69,30,63,30,25,0,0,0,0,0,0,0,0,0,0
11024,10,24,0,-,91,70,41,36,46,46,71,71,61,46,71,31,65,31,26,0,0,0,0,0,0,0,0,0,0
11025,10,25,0,-,92,72,42,37,47,47,72,72,62,47,73,32,67,32,27,0,0,0,0,0,0,0,0,0,0
11026,10,26,0,-,93,74,43,38,48,48,73,73,63,48,75,33,69,33,28,0,0,0,0,0,0,0,0,0,0
11027,10,27,0,-,93,75,43,38,48,48,73,73,63,48,76,33,70,33,28,0,0,0,0,0,0,0,0,0,0
11028,10,28,0,-,94,77,44,39,49,49,74,74,64,49,78,34,72,34,29,0,0,0,0,0,0,0,0,0,0
11029,10,29,0,-,94,78,44,39,49,49,74,74,64,49,79,34,73,34,29,0,0,0,0,0,0,0,0,0,0
11030,10,30,0,-,96,81,46,41,51,51,76,76,66,51,82,36,76,36,31,0,0,0,0,0,0,0,0,0,0
11031,10,31,0,-,96,82,46,41,51,51,76,76,66,51,84,36,77,36,31,0,0,0,0,0,0,0,0,0,0
11032,10,32,0,-,97,84,47,42,52,52,77,77,67,52,86,37,79,37,32,0,0,0,0,0,0,0,0,0,0
11033,10,33,0,-,98,85,48,43,53,53,78,78,68,53,87,38,80,38,33,0,0,0,0,0,0,0,0,0,0
11034,10,34,0,-,100,88,50,45,55,55,80,80,70,55,90,40,83,40,35,0,0,0,0,0,0,0,0,0,0
11035,10,35,0,-,101,89,51,46,56,56,81,81,71,56,91,41,84,41,36,0,0,0,0,0,0,0,0,0,0
11036,10,36,0,-,102,91,52,47,57,57,82,82,72,57,93,42,86,42,37,0,0,0,0,0,0,0,0,0,0
11037,10,37,0,-,103,92,53,48,58,58,83,83,73,58,94,43,87,43,38,0,0,0,0,0,0,0,0,0,0
11038,10,38,0,-,105,95,55,50,60,60,85,85,75,60,97,45,90,45,40,0,0,0,0,0,0,0,0,0,0
11039,10,39,0,-,106,96,56,51,61,61,86,86,76,61,98,46,91,46,41,0,0,0,0,0,0,0,0,0,0
11040,10,40,0,-,107,98,57,52,62,62,87,87,77,62,101,47,93,47,42,0,0,0,0,0,0,0,0,0,0
11041,10,41,0,-,108,99,58,53,63,63,88,88,78,63,102,48,94,48,43,0,0,0,0,0,0,0,0,0,0
11042,10,42,0,-,110,102,60,55,65,65,90,90,80,65,105,50,97,50,45,0,0,0,0,0,0,0,0,0,0
11043,10,43,0,-,111,103,61,56,66,66,91,91,81,66,106,51,98,51,46,0,0,0,0,0,0,0,0,0,0
11044,10,44,0,-,112,105,62,57,67,67,92,92,82,67,108,52,100,52,47,0,0,0,0,0,0,0,0,0,0
11045,10,45,0,-,113,106,63,58,68,68,93,93,83,68,109,53,101,53,48,0,0,0,0,0,0,0,0,0,0
11046,10,46,0,-,115,109,65,60,70,70,95,95,85,70,112,55,104,55,50,0,0,0,0,0,0,0,0,0,0
11047,10,47,0,-,116,110,66,61,71,71,96,96,86,71,113,56,105,56,51,0,0,0,0,0,0,0,0,0,0
11048,10,48,0,-,117,112,67,62,72,72,97,97,87,72,115,57,107,57,52,0,0,0,0,0,0,0,0,0,0
11049,10,49,0,-,118,113,68,63,73,73,98,98,88,73,116,58,108,58,53,0,0,0,0,0,0,0,0,0,0
11050,10,50,0,-,120,116,70,65,75,75,100,100,70,75,119,60,111,60,55,0,0,0,0,0,0,0,0,0,0
11101,11,1,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11102,11,2,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11103,11,3,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11104,11,4,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11105,11,5,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11106,11,6,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11107,11,7,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11108,11,8,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11109,11,9,0,-,100,80,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
11110,11,10,0,-,82,47,32,27,37,37,62,62,52,37,47,22,42,22,17,0,0,0,0,0,0,0,0,0,0
11111,11,11,0,-,82,48,32,27,37,37,62,62,52,37,48,22,43,22,17,0,0,0,0,0,0,0,0,0,0
11112,11,12,0,-,83,50,33,28,38,38,63,63,53,38,50,23,45,23,18,0,0,0,0,0,0,0,0,0,0
11113,11,13,0,-,83,51,33,28,38,38,63,63,53,38,51,23,46,23,18,0,0,0,0,0,0,0,0,0,0
11114,11,14,0,-,84,53,34,29,39,39,64,64,54,39,53,24,48,24,19,0,0,0,0,0,0,0,0,0,0
11115,11,15,0,-,85,55,35,30,40,40,65,65,55,40,55,25,50,25,20,0,0,0,0,0,0,0,0,0,0
11116,11,16,0,-,86,57,36,31,41,41,66,66,56,41,57,26,52,26,21,0,0,0,0,0,0,0,0,0,0
11117,11,17,0,-,86,58,36,31,41,41,66,66,56,41,58,26,53,26,21,0,0,0,0,0,0,0,0,0,0
11118,11,18,0,-,87,60,37,32,42,42,67,67,57,42,60,27,55,27,22,0,0,0,0,0,0,0,0,0,0
11119,11,19,0,-,87,61,37,32,42,42,67,67,57,42,61,27,56,27,22,0,0,0,0,0,0,0,0,0,0
11120,11,20,0,-,89,64,39,34,44,44,69,69,59,44,65,29,59,29,24,0,0,0,0,0,0,0,0,0,0
11121,11,21,0,-,89,65,39,34,44,44,69,69,59,44,66,29,60,29,24,0,0,0,0,0,0,0,0,0,0
11122,11,22,0,-,90,67,40,35,45,45,70,70,60,45,68,30,62,30,25,0,0,0,0,0,0,0,0,0,0
11123,11,23,0,-,90,68,40,35,45,45,70,70,60,45,69,30,63,30,25,0,0,0,0,0,0,0,0,0,0
11124,11,24,0,-,91,70,41,36,46,46,71,71,61,46,71,31,65,31,26,0,0,0,0,0,0,0,0,0,0
11125,11,25,0,-,92,72,42,37,47,47,72,72,62,47,73,32,67,32,27,0,0,0,0,0,0,0,0,0,0
11126,11,26,0,-,93,74,43,38,48,48,73,73,63,48,75,33,69,33,28,0,0,0,0,0,0,0,0,0,0
11127,11,27,0,-,93,75,43,38,48,48,73,73,63,48,76,33,70,33,28,0,0,0,0,0,0,0,0,0,0
11128,11,28,0,-,94,77,44,39,49,49,74,74,64,49,78,34,72,34,29,0,0,0,0,0,0,0,0,0,0
