Index,Code,Name,TypeText,Type,Position,Area,Point,Cash
0,100,»ÿ«ﬁ… «·„—ﬂ“ «·«”«”Ì…,«·ﬂ·,10,0,0,100,100
1,210,»ÿ«ﬁ… „Â«Ã„,„—ﬂ“,20,10,0,500,500
2,220,»ÿ«ﬁ… ·«⁄» Œÿ Ê”ÿ,„—ﬂ“,20,20,0,500,500
3,230,»ÿ«ﬁ… „œ«›⁄,„—ﬂ“,20,30,0,500,500
4,301,»ÿ«ﬁ…  Âœ«›,‰‘«ÿ,30,0,1,1000,800
5,302,»ÿ«ﬁ… „Â«Ã„ À«‰Ì,‰‘«ÿ,30,0,2,1000,800
6,303,»ÿ«ﬁ… „”«⁄œ «·Âœ«›,‰‘«ÿ,30,0,3,1000,800
7,304,»ÿ«ﬁ… „—«Ê€,‰‘«ÿ,30,0,4,1000,800
8,305,»ÿ«ﬁ… ·«⁄» Œÿ Ê”ÿ «·„ Ê”ÿ,‰‘«ÿ,30,0,5,1000,800
9,306,»ÿ«ﬁ… «·Õ—,‰‘«ÿ,30,0,6,1000,800
10,307,»ÿ«ﬁ… «·” Ê»—,‰‘«ÿ,30,0,7,1000,800
11,308,»ÿ«ﬁ… ·«⁄» «·„”Ìÿ—,‰‘«ÿ,30,0,8,1000,800
12,309,»ÿ«ﬁ… œ›«⁄ „ Ê”ÿ,‰‘«ÿ,30,0,9,1000,800
13,310,»ÿ«ﬁ… Ã«‰» Œ·›Ì,‰‘«ÿ,30,0,10,1000,800
14,311,»ÿ«ﬁ… Ã‰«Õ Ã«‰»Ì,‰‘«ÿ,30,0,11,1000,800
15,312,»ÿ«ﬁ… ·«⁄» Œÿ Ê”ÿ Ã«‰»Ì,‰‘«ÿ,30,0,12,1000,800
