Code,Name,IconFile,DataFile
0,X-Kick,Xkick_ball00.png,Ball01
1,«·«»ÿ«· «·Õ„—,Xkick_ball01.png,Ball02
2,«·«»ÿ«· «·“—ﬁ,Xkick_ball02.png,Ball03
3,ﬂ—…  «·«»ÿ«·,Xkick_ball03.png,Ball04
4,«·‰Ã„ «·√»Ì÷,Xkick_ball04.png,Ball05
5,«·‰Ã„ «·√Õ„—,Xkick_ball05.png,Ball06
6,«·‰Ã„ «·√’›—,Xkick_ball06.png,Ball07
7,«·‰Ã„ «·√Œ÷—,Xkick_ball07.png,Ball08
8,«·‰Ã„ «·√“—ﬁ,Xkick_ball08.png,Ball09
9, Ê «·90 ’›—«¡,Xkick_ball09.png,Ball10
10, Ê «·90 »Ì÷«¡,Xkick_ball10.png,Ball11
11, «‰€Ê ﬂÊ” —Ìﬂ«,Xkick_ball11.png,Ball12
12, «‰€Ê  —ÌﬂÊ·Ê—,Xkick_ball12.png,Ball13
13, «‰€Ê «”»«‰Ì«,Xkick_ball13.png,Ball14
14, «‰€Ê «—Ã‰ Ì‰,Xkick_ball14.png,Ball15
15,ﬂ—… ﬂ√” «·⁄«·„ 2010,Xkick_ball15.png,Ball16
