Index,Code,Limit,Free,New,Amount,Discount,Sell,Cash,Point,Time,Winner0,Winner1,Winner2,Winner3,Winner4,Winner5,Loser0,Loser1,Loser2,Loser3,Loser4,Loser5,Name,CameraFile,Nif,IconFile,Explain,Name,CameraFile,Nif,IconFile,Explain
0,1,0,0,0,1,0,0,0,0,5,72030101,72030102,72010102,72010102,72010102,72010102,72030103,72010103,72010103,72010103,72010103,72010103,«·«Õ ›«·,-,0,-,-,«·«Õ ›«·,-,0,-,-
1,101,0,0,0,1,0,0,0,0,3.3,73510101,73510102,73510103,73510103,73510103,73510103,73510103,73510103,73510103,73510103,73510103,73510103,«·«›  «Õ «·«Ê·,73510101_Ca,0,-,-,«·«›  «Õ «·«Ê·,73510101_Ca,0,-,-
2,102,0,0,0,1,0,0,0,0,3.3,73510101,73510102,73510103,73510103,73510103,73510103,73510103,73510103,73510103,73510103,73510103,73510103,«·«›  «Õ «·À«‰Ì,73510101_Ca,0,-,-,«·«›  «Õ «·À«‰Ì,73520101_Ca,0,-,-
3,1001,0,0,0,1,0,0,0,0,4,73010101,73010102,73010103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,—ﬂ÷… «·‰’—,73010101_Ca,0,Cere_1001,-,—ﬂ÷… «·‰’—,73010101_Ca,0,Cere_1001,-
4,1002,0,0,0,1,0,0,0,0,4,73020101,73020102,73020103,73020104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«·—ﬂ÷… «·’«—ÊŒÌ…,73020101_Ca,0,Cere_1002,-,«·—ﬂ÷… «·’«—ÊŒÌ…,73020101_Ca,0,Cere_1002,-
5,1003,0,0,0,1,0,0,0,0,5,73060101,73060102,73060103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,ﬁ›“… ⁄«·Ì…,73060101_Ca,0,Cere_1003,-,ﬁ›“… ⁄«·Ì…,73060101_Ca,0,Cere_1003,-
6,1004,0,0,0,1,0,0,0,0,4,73070101,73070102,73070103,73070104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«’„ !,73070101_Ca,0,Cere_1004,-,«’„ !,73070101_Ca,0,Cere_1004,-
7,1005,0,0,0,1,0,0,0,0,4,73080101,73080102,73080103,73080104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,«ÊÊÊÂ ‰⁄„!!!,73080101_Ca,0,Cere_1005,-,«ÊÊÊÂ ‰⁄„!!!,73080101_Ca,0,Cere_1005,-
8,10001,0,0,0,1,100,2,0,10000,4,73030101,73030102,73030103,73030104,73030105,73030106,73000201,73000202,73000203,73000204,73000205,73000206,—ﬁ’… «·ﬂ—”»Ì,73030101_Ca,0,Cere_10001,-,—ﬁ’… «·ﬂ—”»Ì,73030101_Ca,0,Cere_10001,-
9,10002,0,0,0,1,100,2,0,10000,4,73040101,73000102,73000103,73000104,73000105,73000106,73000201,73000202,73000203,73000204,73000205,73000206,„’«—⁄…,73040101_Ca,0,Cere_10002,-,„’«—⁄…,73040101_Ca,0,Cere_10002,-
