Code,Adjust,Explain
100,гАляМ,гАляМ
101,ЦягФши,ЦягФши
102,нщи гАмяъи,нщи гАмяъи
103,гАчояи зАЛ гАймЦА,гАчояи зАЛ гАймЦА
104,чщр,чщр
105,гнйягч,гнйягч
106,йчгьз,йчгьз
107,йЦяМяи чуМяи,йЦяМяи чуМяи
108,йЦяМяи ьФМАи,йЦяМяи ьФМАи
109,яцсМи,яцсМи
110,йсоМои чуМяи,йсоМои чуМяи
111,йсоМои ьФМАи,йсоМои ьФМАи
112,гАймъЦ хгАъяи,гАймъЦ хгАъяи
113,гнйьгщ,гнйьгщ
114,зячАи,зячАи
115,гАйчгь,гАйчгь
116,гААъЦ,гААъЦ
117,мягси,мягси
200,чФи гАЕлФЦ,йсоМогй чуМяи+йсоМогй ьФМАи
201,чФи гАощгз,ньщ+зячАи
202,ДлЦ гАЕФга,чщр+яцсМи
203,чгхАМи гАйЦяМя,йЦяМяи чуМяи+йЦяМяи ьФМАи
204,йДчА,ляМ+ЦягФши
205,ятгчи гАщМрМгфМи,нщи гАмяъи+чояи гАймЦА
206,чояи гАгнйягч,гнйягч+ймъЦ хгАъяи
207,ъгщи гАгмугагй,ъгщи гАгмугагй
208,ъгщи гАжяхгй гАмяли,ъгщи гАжяхгй гАмяли
209,йнщМж рЦД гАймЦМи,рЦД ймЦМи ъгщи гАЦЕгягй
210,ЦзоА ньц йсоМогй гАчуМяи,мяли
211,ЦзоА ньц йсоМогй гАьФМАи,мяли
212,ЦзоА ньц гАзячАи,мяли
213,ЦзоА ньц гАгнйьгщ,мяли
214,ЦзоА ньц гАзячАи,мяли
215,ЦзоА ньц гАяцсМи,мяли
216,ЦзоА гАньц гАлсоМ,мяли
300,ЦмыФы,рМгои гмйЦгА йьФМя гАгоги
301,EXP,рМгои гАнхяи
302,гАДчгь,рМгои гАДчгь
