Code,Word
10000,anal
10001,asshole
10002,babo
10003,babu
10004,bastard
10005,bitch
10006,cock
10007,cunt
10008,damn
10009,ddr
10010,dildo
10011,fuck
10012,fucking
10013,fucku
10014,fuckyou
10015,fuck-you
10016,gay
10017,horny
10018,lesbian
10019,motherfucker
10020,nigimi
10021,nimi
10022,penis
10023,porno
10024,pussy
10025,sex
10026,shit
10027,suck
10028,Kiss my ass
10029,Suck my dick
10030,Suck your dick
10031,Suck my mother fucking dick
10032,Kiss my mother fucking ass
10033,Cock sucking pig
10034,Cock sucking bitch
10035,Mother fucker
10036,Bloody hell
10037,Gay whore
10038,Gay ass bitch
10039,fucking homo
10040,anus
10041,anal
10042,beaver
10043,bitch
10044,b!tch
10045,biotch
10046,bitty
10047,biznatch
10048,blowjob
10049,boner
10050,bong
10051,boob
10052,browneye
10053,browntown
10054,bulldager
10055,bullhell
10056,bullshit
10057,bung
10058,butch
10059,callgirl
10060,chink
10061,cheesedick
10062,circlejerk
10063,clit
10064,cobia
10065,cock
10066,cooter
10067,crack
10068,crotch
10069,cum
10070,cunnilingus
10071,cunt
10072,dick
10073,dike
10074,dildo
10075,dilldoe
10076,dilldos
10077,dipshit
10078,dong
10079,doper
10080,doobie
10081,douche
10082,dumbass
10083,dyke
10084,ejaculation
10085,fag
10086,fareskin
10087,fatass
10088,foreskin
10089,fuck
10090,fcuk
10091,fuk
10092,fvck
10093,furburger
10094,gazongers
10095,goddam
10096,goddammit
10097,goddamn
10098,gonads
10099,hardon
10100,homo
10101,homosexual
10102,honker
10103,honkey
10104,honky
10105,hooker
10106,horny
10107,hussy
10108,hymen
10109,hyman
10110,jackoff
10111,jackass
10112,jap
10113,jew
10114,j3w
10115,j3w
10116,jizz
10117,kike
10118,lesbian
10119,lesbo
10120,lessy
10121,masterbate
10122,masterbating
10123,masturbating
10124,masturbator
10125,masterbator
10126,muff
10127,nigger
10128,niggah
10129,n!gger
10130,nigga
10131,penis
10132,pimp
10133,phuck
10134,pothead
10135,polack
10136,poontang
10137,prick
10138,prostitute
10139,puntang
10140,pussy
10141,pussydick
10142,pussylips
10143,queer
10144,quefe
10145,quief
10146,reefer
10147,retard
10148,schlong
10149,slackass
10150,sleeze
10151,slit
10152,slut
10153,slutty
10154,snatch
10155,stoned
10156,sperm
10157,strapon
10158,sux
10159,tits
10160,titty
10161,tramp
10162,twat
10163,vibrator
10164,vagina
10165,wang
10166,wetback
10167,whore
10168,wigger
10169,aclit
10170,adick
10171,anal intruder
10172,anal invader
10173,ANALICKER
10174,Anus
10175,ass bandit
10176,ass clown
10177,ass face
10178,ass fucker
10179,ass hole
10180,ass load
10181,ass munch
10182,ass out
10183,ass packer
10184,ass reamer
10185,ass whacker
10186,ass wipe
10187,assbandit
10188,assclown
