Code,TipText
10000, яжд ё«ѕ—« Џбм «ббЏ» ÷ѕ «бяжг»нж —
10001,ббгЌ«ѕЋ… гЏ √Џ÷«Ѕ «бд«ѕн ЁёЎ «ѕќб // ё»б —”«б я
10002,”жЁ н г Ќ–Ё д«ѕня  бё«∆н« Џдѕг« няжд √Џ÷«Ѕ «бд«ѕн √ёб гд 5
10003,”жЁ   гяд гд «д‘«Ѕ д«ѕня «бќ«’ Џдѕг« н’»Ќ г” ж«я 30 !!
10004,нгядя  ’жн— «б‘«‘… Џдѕ «б÷џЎ Џбм “— PrtScrn гд бжЌ… «бгЁ« нЌ ж ”жЁ н г ЌЁў «б’ж— Ён Screenshot
10005,”жЁ н г Ў—ѕ г÷нЁ «бг»«—«… «–« бг ня » «н ‘нЅ Ён ’дѕжё «бгЌ«ѕЋ… ќб«б 5 ѕё«∆ё
10006,”жЁ  ’»Ќ Ён г—я“ г ёѕг Џдѕг«  ’б ббг” жм 20
10007,«–« —»Ќ  г»«—«… ж бг нѕќб Џбня ”жм еѕЁ ж«Ќѕ ”нЌ’б «бгѕ«ЁЏжд Џбм дё«Ў ж ќ»—…
10008,ябг« я«д Џѕѕ «бб«Џ»нд Ён «бг»«—«… √яЋ— ”жЁ  Ќ’б Џбм ќ»—… ж дё«Ў √яЋ—
10009,Џдѕг« няжд «бќ’г н”ѕѕ дЌж еѕЁя Ё«д  ‘ н е ж «б«дѕЁ«Џ »« ћ«ее ёѕ нёбб гд ёж… «б ”ѕнѕ…
10010,гд «б«”еб  ”ћнб еѕЁ Џдѕг«  яжд б”  г «»Џ« гд «бќ’г
10011,б«Џ»ж «бж”Ў г ќ’’нд »«б г—н—«  «бё’н—… ж «бгѕ«ЁЏжд ег √Ё÷б бб г—н—«  «бЎжнб…
10012,Ќ«—” «бг—гм бд нг—— бя «бя—… Џдѕг«  яжд Ён гдЎё… «бг—гм!
10013,"«бЏѕѕ «б«ё’м «бг”гжЌ »е Ён «бд«ѕн еж 30 Џ÷ж ,, «–« «—ѕ  «д  —ЁЏ Џѕѕ «б«Џ÷«Ѕ Џбня ‘—«Ѕ √ѕ«… ггн“…"
10014,нгядя ѕќжб гдЎё… г—гм «бќ«’ »я ж бяд б« нгядя ѕќжб гдЎё… «бг—гм «бќ«’… »«бќ’г
10015,«–« бг  яжд гж«ће« г—гм «бќ’г ”жЁ  яжд «б÷—»… ёбнб… «бёж…
10016,нгядя «б Ќяг Ён ”—Џ… ÷—» «бя—… ж  г—н—е« гд ќб«б «бгён«” Ён √”Ёб н”«— «б‘«‘…
10017,«–« «—ѕ  г”«Џѕ… «Ћд«Ѕ «ббЏ»… «÷џЎ Џбм “— H
