Index,Code,FacultyName,FacultyCode,SituationText,SituationCode,RATIO1,RATIO2,LEVEL5,LEVEL10,LEVEL15,LEVEL20,LEVEL25,LEVEL30,LEVEL35,LEVEL40,LEVEL45,LEVEL50,BONUS_RATE,PRICE,HAIR,TATTOO,SHIRTS,PANTS,GLOVE,SHOES,SOCKS,EYE,EAR,NECK,MASK,MUFFLER,BAG,WRIST,ARM,KNEE,RARE_RATIO,SPECIAL_RATIO
0,10020700,모든 능력치,207,항상,100,10,10,1,3,4,4,5,5,6,6,7,7,100,100,3,3,20,20,20,150,3,3,3,3,3,3,3,20,20,6,50,100
1,10010000,달리기,100,항상,100,50,60,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
2,10010100,드리블,101,항상,100,50,110,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
3,10010200,순발력,102,항상,100,50,160,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
4,10010300,지구력,103,항상,100,50,210,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
5,10010400,탄력,104,항상,100,50,260,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
6,10010500,몸싸움,105,항상,100,50,310,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
7,10010600,크로스,106,항상,100,50,360,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
8,10010700,숏패스,107,항상,100,50,410,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
9,10010800,롱패스,108,항상,100,50,460,2,3,4,5,5,6,6,6,8,8,40,20,20,20,40,40,20,150,5,5,5,5,5,10,10,10,10,10,100,300
