Index,Code,Type,Word
0,10000,2,GameMaster
1,10001,2,Fcuk
2,10002,2,GM
3,10003,2,Fuck
4,10004,2,Admin
5,10005,2,cum
6,10006,2,Suck
7,10007,2,Anal
8,10008,2,JM
9,10009,2,anal
10,10010,2,ass
11,10011,2,asshole
12,10012,2,babo
13,10013,2,babu
14,10014,2,bastard
15,10015,2,bitch
16,10016,2,cock
17,10017,2,cunt
18,10018,2,damn
19,10019,2,ddr
20,10020,2,dildo
21,10021,2,fuck
22,10022,2,fucking
23,10023,2,fucku
24,10024,2,fuckyou
25,10025,2,fuck-you
26,10026,2,gay
27,10027,2,horny
28,10028,2,lesbian
29,10029,2,motherfucker
30,10030,2,nigimi
31,10031,2,nimi
32,10032,2,penis
33,10033,2,porno
34,10034,2,pussy
35,10035,2,sex
36,10036,2,shit
37,10037,2,suck
38,10038,2,Kissxmyxass
39,10039,2,Suckxmyxdick
40,10040,2,Suckxyourxdick
41,10041,2,Suckxmyxmotherxfuckingxdick
42,10042,2,Kissxmyxmotherxfuckingxass
43,10043,2,Cockxsuckingxpig
44,10044,2,Cockxsuckingxbitch
45,10045,2,Motherxfucker
46,10046,2,Bloodyxhell
47,10047,2,Gayxwhore
48,10048,2,Gayxassxbitch
49,10049,2,fuckingxhomo
50,10050,2,anus
51,10051,2,anal
52,10052,2,beaver
53,10053,2,bitch
54,10054,2,b!tch
55,10055,2,biotch
56,10056,2,bitty
57,10057,2,biznatch
58,10058,2,blowjob
59,10059,2,boner
60,10060,2,bong
61,10061,2,boob
62,10062,2,browneye
63,10063,2,browntown
64,10064,2,bulldager
65,10065,2,bullhell
66,10066,2,bullshit
67,10067,2,bung
68,10068,2,butch
69,10069,2,callgirl
70,10070,2,chink
71,10071,2,cheesedick
72,10072,2,circlejerk
73,10073,2,clit
74,10074,2,cobia
75,10075,2,cock
76,10076,2,cooter
77,10077,2,crack
78,10078,2,crotch
79,10079,2,cum
80,10080,2,cunnilingus
81,10081,2,cunt
82,10082,2,dick
83,10083,2,dike
84,10084,2,dildo
85,10085,2,dilldoe
86,10086,2,dilldos
87,10087,2,dipshit
88,10088,2,dong
89,10089,2,doper
90,10090,2,doobie
91,10091,2,douche
92,10092,2,dumbass
93,10093,2,dyke
94,10094,2,ejaculation
95,10095,2,fag
96,10096,2,fareskin
97,10097,2,fatass
98,10098,2,foreskin
99,10099,2,fuck
100,10100,2,fcuk
101,10101,2,fuk
102,10102,2,fvck
103,10103,2,furburger
104,10104,2,gazongers
105,10105,2,goddam
106,10106,2,goddammit
107,10107,2,goddamn
108,10108,2,gonads
109,10109,2,hardon
110,10110,2,homo
111,10111,2,homosexual
112,10112,2,honker
113,10113,2,honkey
114,10114,2,honky
115,10115,2,hooker
116,10116,2,horny
117,10117,2,hussy
118,10118,2,hymen
119,10119,2,hyman
120,10120,2,jackoff
121,10121,2,jackass
122,10122,2,jap
123,10123,2,jew
124,10124,2,j3w
125,10125,2,j3w
126,10126,2,jizz
127,10127,2,kike
128,10128,2,lesbian
129,10129,2,lesbo
130,10130,2,lessy
131,10131,2,masterbate
132,10132,2,masterbating
133,10133,2,masturbating
134,10134,2,masturbator
135,10135,2,masterbator
136,10136,2,muff
137,10137,2,nigger
138,10138,2,niggah
139,10139,2,n!gger
140,10140,2,nigga
141,10141,2,penis
142,10142,2,pimp
143,10143,2,phuck
144,10144,2,pothead
145,10145,2,polack
146,10146,2,poontang
147,10147,2,prick
148,10148,2,prostitute
149,10149,2,puntang
150,10150,2,pussy
151,10151,2,pussydick
152,10152,2,pussylips
153,10153,2,queer
154,10154,2,quefe
155,10155,2,quief
156,10156,2,reefer
157,10157,2,retard
158,10158,2,schlong
159,10159,2,slackass
160,10160,2,sleeze
161,10161,2,slit
162,10162,2,slut
163,10163,2,slutty
164,10164,2,snatch
165,10165,2,stoned
166,10166,2,sperm
167,10167,2,strapon
168,10168,2,sux
169,10169,2,tits
170,10170,2,titty
171,10171,2,tramp
172,10172,2,twat
173,10173,2,vibrator
174,10174,2,vagina
175,10175,2,wang
176,10176,2,wetback
177,10177,2,whore
178,10178,2,wigger
179,10179,2,aclit
180,10180,2,adick
181,10181,2,analxintruder
182,10182,2,analxinvader
183,10183,2,ANALICKER
184,10184,2,Anus
185,10185,2,assxbandit
186,10186,2,assxclown
187,10187,2,assxface
188,10188,2,assxfucker
189,10189,2,assxhole
190,10190,2,assxload
191,10191,2,assxmunch
192,10192,2,assxout
193,10193,2,assxpacker
194,10194,2,assxreamer
195,10195,2,assxwhacker
196,10196,2,assxwipe
197,10197,2,assbandit
198,10198,2,assclown
199,10199,2,Asscrack
200,10200,2,assedxout
201,10201,2,assface
202,10202,2,assfucker
203,10203,2,asshole
204,10204,2,asslicker
205,10205,2,assload
206,10206,2,assmunch
207,10207,2,assout
208,10208,2,asspacker
209,10209,2,assreamer
210,10210,2,asswhacker
211,10211,2,asswipe
212,10212,2,babyxbatter
213,10213,2,babybatter
214,10214,2,bimbo
215,10215,2,bitch
216,10216,2,bitexme
217,10217,2,biteme
218,10218,2,bloodxfart
219,10219,2,bloodfart
220,10220,2,blowxjob
221,10221,2,blowxme
222,10222,2,blowxmyxpole
223,10223,2,blowjob
224,10224,2,blowme
225,10225,2,bluexball
226,10226,2,bluexballs
227,10227,2,blueballs
228,10228,2,boner
229,10229,2,bullxdike
230,10230,2,bullxshit
231,10231,2,bulldike
232,10232,2,bullshit
233,10233,2,bungxhole
234,10234,2,bunghole
235,10235,2,buttxbandit
236,10236,2,buttxbanger
237,10237,2,buttxbuddy
238,10238,2,buttxcrust
239,10239,2,buttxnugger
240,10240,2,buttxpirate
241,10241,2,buttxplug
242,10242,2,buttbandit
243,10243,2,buttbanger
244,10244,2,Buttcrack
245,10245,2,buttfuck
246,10246,2,buttfucker
247,10247,2,Butthump
248,10248,2,buttnugger
249,10249,2,buttpirate
250,10250,2,buttplug
251,10251,2,Buttporn
252,10252,2,c0ck
253,10253,2,CamelxJockey
254,10254,2,camelxtoe
255,10255,2,cameltoe
256,10256,2,carpetxeater
257,10257,2,carpeteater
258,10258,2,cherryxpopper
259,10259,2,cherrypopper
260,10260,2,chokexmyxchicken
261,10261,2,chokingxthexchicken
262,10262,2,cocaine
263,10263,2,cockxjockey
264,10264,2,cockxknocker
265,10265,2,cockxlord
266,10266,2,cockxring
267,10267,2,cockxsmoker
268,10268,2,cockxsucker
269,10269,2,cockxtease
270,10270,2,cockass
271,10271,2,cockblocker
272,10272,2,cockjockey
273,10273,2,cocklord
274,10274,2,cocknocker
275,10275,2,cockring
276,10276,2,cocksmoker
277,10277,2,cocksucker
278,10278,2,cocktease
279,10279,2,coochie
280,10280,2,CRACKBITCH
281,10281,2,cracker
282,10282,2,Crackspacker
283,10283,2,crackspackler
