Index,Code,Position,StartLevel,EndLevel,Scale,Limit,Join,Repeat,Condition,Kind1,GiftCode1,Amount1,Kind2,GiftCode2,Amount2,Kind3,GiftCode3,Amount3,Home1,Home2,Home3,Home4,Home5,Home6,Away1,Away2,Away3,Away4,Away5,Away6,Title,IconFile,Kind,Explain
0,100,0,0,0,0,0,0,0,0,12,0,200,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
1,101,0,0,0,0,0,0,0,0,12,0,200,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
2,102,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
3,103,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
4,104,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
5,105,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
6,106,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
7,107,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
8,108,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
9,1000,50,1,10,5,1,1,1,0,12,0,250,15,0,400,0,0,0,1,20,0,0,0,0,0,0,0,0,0,40,ггн“« н,PositionIcon_ALL,0,ѕЏд« д” Џ—÷ 15 джЏ гд «бгёѕ—«  «бг жЁ—… ё»б »ѕ«н… «ббЏ»
10,1001,50,1,10,5,1,1,1,0,12,0,300,15,0,400,0,0,0,1,20,0,0,0,0,0,0,0,0,0,40, Ќяг »«бЎ«ё…,PositionIcon_ALL,1,ѕЏд« д ѕ—» «жб« Џбм Ў—нё… «б Ќяг »гён«” «бЎ«ё… »«” ќѕ«г гЁ« нЌ A D F 
11,1002,50,1,10,5,1,1,1,0,12,0,300,15,0,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40, ”ѕнѕ… ѕёнё…,PositionIcon_ALL,1,ѕЏд« д ѕ—» Џбм «б ”ѕнѕ »№D («б—яб… «бн”—м) ж »№F («б—яб… «бнгдм)
12,1003,50,1,10,5,1,1,1,0,12,0,300,15,0,400,0,0,0,1,20,0,0,0,0,0,0,0,0,0,40, ”ѕнѕ… г»«‘—… ѕнд«гнян…,PositionIcon_ALL,1, ѕ—» Џбм «б ”ѕнѕ… «бг»«‘—… »№D («б—яб… «бн”—м) ж »№F («б—яб… «бнгдм)
13,1004,50,1,10,5,1,1,1,0,12,0,450,15,0,400,0,0,0,1,20,20,30,0,0,0,0,0,0,0,40,”ћб еѕЁ,PositionIcon_ALL,1,Ќ«жб «д  ”ћб «яЋ— гд еѕЁ Ён «ёб гд 3 ѕё«∆ё »г”«Џѕ… Ё—нё «бяжг»нж —
14,1005,50,1,10,5,1,1,1,0,12,0,300,15,0,400,0,0,0,1,20,20,0,0,0,0,0,0,0,0,40,бЏ»… «б г—н—«  ,PositionIcon_ALL,1,г—— «бя—… б«Џ÷«Ѕ Ё—нё «бяжг»нж —  »№A ( г—н—… ё’н—…) ж »№S ( г—н—… Ўжнб…)
15,1006,50,1,10,5,1,1,1,0,12,0,300,15,0,500,0,0,0,1,0,0,0,0,40,10,0,0,0,0,0,«бЏ—ёб… «бгжЌ‘н…,PositionIcon_ALL,1,«” жбн Џбм «бя—… »«” ќѕ«г “— Q (Џ—ёб…) гд «бб«Џ» «бќ’г
16,1007,50,1,10,5,1,1,1,0,12,0,300,15,0,600,0,0,0,1,0,0,0,0,40,10,20,0,0,0,0,«бћѕ«— «бЌѕнѕн,PositionIcon_ALL,1,«»Џѕ «бя—… »«” ќѕ«г гЁ« нЌ A «ж D «ж F Ён гдЎё… «бѕЁ«Џ
17,1008,50,1,10,5,1,1,1,0,12,0,450,15,0,600,0,0,0,1,30,0,0,0,40,10,10,20,30,0,40,Ќ«Ёў Џбм «бд’—,PositionIcon_ALL,1,ѕ«ЁЏ «д  ж «Џ÷«Ѕ Ё—нёя ÷ѕ «Џ÷«Ѕ Ё—нё «бќ’г ќб«б ѕёнё нд ж д’
18,1009,50,1,10,5,1,1,1,0,12,0,450,15,0,600,0,0,0,1,10,20,30,0,40,10,20,30,0,0,40,яд г’гг« Џбм «бЁж“  I,PositionIcon_ALL,1,Ё—нёя еж «бг ёѕг Ён «бг»«—… » нћ… 2:0 ... «—»Ќ «бг»«—… гЏ б«Џ»н Ё—нё «бяжг»нж — ќб«б 3 ѕё«∆ё
