Index,Code,Ratio,Title
0,100,100,щМ ъгщи гАгФчгй
1,101,40,щМ гАФчй гАгжгщМ
2,111,40,АЦои очМчи Фгмои хзо гАхоа
3,113,30,АЦои 3 очгфч хзо гАхоа
4,115,20,АЦои 5 очгфч хзо гАхоа
5,121,40,АЦои очМчи Фгмои чхА гАгДйЕга
6,122,30,АЦои 2 очМчи чхА гАгДйЕга
7,130,30,гАДйМли йзгоА
8,140,20,щМ гАуогяи
9,142,50,щМ гАуогяи Цз ЕощМД гФ гъкя
10,150,20,зДоЦг йнся
11,152,50,зДо гАЦтгящи зАЛ гАнсгяи хЕощМД гФ цъкя
12,160,40,шМя Цйгхз
13,161,30,Цйгхз
14,162,50,Цйгхз ЦД чхА АгзхМД цФ гъкя ЦД гАщяМч гАнуЦ
15,163,50,Цйгхз ЦД 3 АгзхМД цФ гъкя ЦД гАщяМч гАнуЦ
16,171,30,ЕлФЦ Цжго
17,172,30,йАчМ ЕлФЦ Цжго
18,181,50,щМ ЦДьчи гАйсоМогй гАчуМяи
19,182,50,щМ ЦДьчи гАйсоМогй гАьФМАи
20,183,50,щМ ЦДьчи гАйчгьз
21,184,50,щМ ЦДьчи гАФсь
22,185,50,щМ гАЦДьчи гАнАщМи ЦД нь гАФсь
23,186,50,щМ ЦДьчи гАощгз
24,187,50,щМ ЦДьчи гАЕлФЦ
