Index,Code,Type,Position,Name,Pos,Class,Order,Limit1,Limit2,Limit3,Level,depend1,depend2,depend3,depend4,depend5,Area1,Area2,Area3,Cool1,Cool2,Cool3,Value1,Value2,Value3,Discount,Sell,Cash1,Cash2,Cash3,Point1,Point2,Point3,Key,AniCode,IconFile,CameraFile,OptionText,ExplainText,KeyText,Description
0,101110,1011,10,йсоМои цЦгЦМи,FW,10,11,10,10,10,3,90241001,0,0,0,0,1,1,1,120,90,60,5,10,15,100,2,100,100,100,1000,2000,5000,0,20112100,Skill_1011,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,??
1,101211,1012,11,яъАи АгщФДг,ST,10,12,24,24,24,3,90201101,90121101,0,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,7500,15000,37500,0,20132100,Skill_1012,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,?? ??
2,101212,1012,12,яъАи АгщФДг,CF,10,12,24,24,24,3,90201201,90121201,0,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,7500,15000,37500,0,20132100,Skill_1012,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,?? ??
3,101214,1012,14,яъАи АгщФДг,SS,10,12,22,22,22,3,90201401,90121402,0,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,6250,12500,31250,0,20132100,Skill_1012,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,?? ??
4,101314,1013,14,йсоМои нАгхи,SS,10,13,26,26,26,3,90131401,12321401,12341401,0,0,2,2,2,120,90,60,5,10,15,100,2,100,100,100,7500,15000,37500,0,20122100,Skill_1013,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,??
5,101320,1013,20,йсоМои нАгхи,MF,10,13,17,17,17,3,12112001,90242001,11322001,0,0,2,2,2,120,90,60,5,10,15,100,2,100,100,100,1000,2000,5000,0,20122100,Skill_1013,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,??
6,101413,1014,13,гАяъАи гАЦсйоМяи,WF,10,14,20,20,20,3,0,0,0,0,0,1,1,1,80,60,40,10,15,20,100,0,100,100,100,7500,15000,37500,1,20142100,Skill_1014,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,мсх гАЦсйноЦ,?? ??
7,101523,1015,23,йсоМои лгДхМи,SM,10,15,26,26,26,3,90132301,20122302,0,0,0,2,2,2,120,90,60,5,10,15,100,2,100,100,100,7500,15000,37500,0,20152100,Skill_1015,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД нь гАДЕгМи,D цФ F,?? ??
8,101621,1016,21,йсоМои угяФнМи,AM,10,16,24,24,24,3,90132102,90122102,0,0,0,2,2,2,160,120,80,5,10,15,100,2,100,100,100,5000,10000,25000,0,20162100,Skill_1016,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА йсоМои ьФМАи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,??
9,101624,1016,24,йсоМои угяФнМи,DM,10,16,26,26,26,3,90112401,19122401,12352402,0,0,2,2,2,160,120,80,5,10,15,100,2,100,100,100,7500,15000,37500,0,20162100,Skill_1016,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА йсоМои ьФМАи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,??
10,101731,1017,31,йсоМои гАщжгфМи,SW,10,17,26,26,26,3,90113101,12353102,0,0,0,52,52,52,160,120,80,0,5,10,100,2,100,100,100,7500,15000,37500,0,20172100,Skill_1017,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦяМяи ЦйФсьи ЦД нь гАФсь хгйлгЕ гАЕощ,D цФ F,?? ??
11,105112,1051,12,гАяъАи гАлгДхМи гАЦАйщи,CF,10,51,28,28,28,3,90201201,90121201,10121201,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,7500,15000,37500,1,20512100,Skill_1051,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,мсх гАЦсйноЦ,-
12,105221,1052,21,яъАи хФлЕ гАчоЦ,AM,10,52,24,24,24,3,90132102,90122101,0,0,0,2,2,2,80,60,40,0,5,10,100,2,100,100,100,7500,15000,37500,1,20522100,Skill_1052,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА йсоМои ьФМАи жЦД гАЦДьчи гАЦзМДи АЕг,мсх гАЦсйноЦ,-
13,105232,1052,32,яъАи хФлЕ гАчоЦ,CB,10,52,26,26,26,3,90113202,90233201,19173201,0,0,2,2,2,80,60,40,0,5,10,100,2,100,100,100,7500,15000,37500,1,20522100,Skill_1052,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА йсоМои ьФМАи жЦД гАЦДьчи гАЦзМДи АЕг,мсх гАЦсйноЦ,-
14,105312,1053,12,гАйсоМои гАЦАйщи,CF,10,53,20,20,20,3,0,0,0,0,0,1,1,1,120,90,60,0,5,10,100,0,100,100,100,5000,10000,25000,0,20532104,Skill_1053,UI_Skill_Cam1,гАймЦМи ААйсоМо,йЦ йщзМА ЦЕгяи йсоМои чуМяи жЦД гАЦДьчи гАЦзМДи АЕг,D цФ F,?? ??
15,111112,1111,12,гАйсоМои гАЦДрАчи,CF,11,11,26,26,26,3,90201201,90121202,11341201,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,5000,10000,25000,0,21112100,Skill_1111,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦДнщжи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
16,111113,1111,13,гАйсоМои гАЦДрАчи,WF,11,11,26,26,26,3,90201301,90121302,15191301,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,5000,10000,25000,0,21112100,Skill_1111,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦДнщжи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
17,111114,1111,14,гАйсоМои гАЦДрАчи,SS,11,11,26,26,26,3,90131402,19131401,15221401,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,5000,10000,25000,0,21112100,Skill_1111,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦДнщжи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
18,111121,1111,21,гАйсоМои гАЦДрАчи,AM,11,11,24,24,24,3,90132101,12322101,12332101,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,5000,10000,25000,0,21112100,Skill_1111,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦДнщжи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
19,111221,1112,21,йсоМои угяФнМи ьгфяи,AM,11,12,26,26,26,3,90132102,90122102,10162101,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,5000,10000,25000,0,21122100,Skill_1112,UI_Skill_Cam1,гАймЦМи ААйсоМо,йсоМои ьФМАи ЦйлЕи хгйлгЕ ЦДьчи гАЕощ Цхгтяи,йзЦА йАчгфМг хзо D цФ F,??
20,111400,1114,0,ДлЦи нМгАМи,-,11,14,20,20,20,3,0,0,0,0,0,1,1,1,30,20,3,10,20,30,100,0,100,100,100,7500,15000,37500,0,0,Skill_1114,UI_Skill_Cam1,гАймЦМи ААйсоМо,рМгои гмйЦгАМи йслМА Еощ,йзЦА йАчгфМг хзо D цФ F,-
21,112110,1121,10,яъАи гДрАгчМи гяжМи,FW,11,21,17,17,17,3,90241001,10111001,11321001,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,2000,4000,10000,0,21212200,Skill_1121,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦйФсьи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
22,112121,1121,21,яъАи гДрАгчМи гяжМи,AM,11,21,28,28,28,3,90132101,12322101,12332101,11112101,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,5000,10000,25000,0,21212200,Skill_1121,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦйФсьи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
23,112122,1121,22,яъАи гДрАгчМи гяжМи,CM,11,21,24,24,24,3,90222201,12352202,0,0,0,1,1,1,30,20,3,10,20,30,100,2,100,100,100,6250,12500,31250,0,21212200,Skill_1121,UI_Skill_Cam1,гАймЦМи ААйсоМо,жях гАъяи гАЦйФсьи ЦйрмАчг хлгДх ЦДьчи гАЕощ,йзЦА йАчгфМг хзо D цФ F,??
