Index,Code,Type,Limit,Value,Discount,Sell,Cash,Point,Name,LearnText,IconFile,Explain
0,1001,10,5,1,100,2,400,2000,ЪЯбэШ ксь ЧсЬбэ 1,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 1
1,1002,10,10,2,100,2,800,4000,ЪЯбэШ ксь ЧсЬбэ 2,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 2
2,1003,10,15,3,100,2,1200,6000,ЪЯбэШ ксь ЧсЬбэ 3,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 3
3,1004,10,20,4,100,2,1600,8000,ЪЯбэШ ксь ЧсЬбэ 4,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 4
4,1005,10,25,5,100,2,2000,10000,ЪЯбэШ ксь ЧсЬбэ 5,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 5
5,1006,10,30,6,100,2,2400,12000,ЪЯбэШ ксь ЧсЬбэ 6,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 6
6,1007,10,35,7,100,2,2800,14000,ЪЯбэШ ксь ЧсЬбэ 7,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 7
7,1008,10,40,8,100,2,3200,16000,ЪЯбэШ ксь ЧсЬбэ 8,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 8
8,1009,10,45,9,100,2,3600,18000,ЪЯбэШ ксь ЧсЬбэ 9,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 9
9,1010,10,50,10,100,2,4000,20000,ЪЯбэШ ксь ЧсЬбэ 10,Ьбэ,Training_Run,ЪЯбэШ ксь ЧсЬбэ 10
10,1101,11,5,1,100,2,400,2000,ЪЯбэШ ксь ЧсубЧцлЩ 1,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 1
11,1102,11,10,2,100,2,800,4000,ЪЯбэШ ксь ЧсубЧцлЩ 2,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 2
12,1103,11,15,3,100,2,1200,6000,ЪЯбэШ ксь ЧсубЧцлЩ 3,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 3
13,1104,11,20,4,100,2,1600,8000,ЪЯбэШ ксь ЧсубЧцлЩ 4,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 4
14,1105,11,25,5,100,2,2000,10000,ЪЯбэШ ксь ЧсубЧцлЩ 5,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 5
15,1106,11,30,6,100,2,2400,12000,ЪЯбэШ ксь ЧсубЧцлЩ 6,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 6
16,1107,11,35,7,100,2,2800,14000,ЪЯбэШ ксь ЧсубЧцлЩ 7,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 7
17,1108,11,40,8,100,2,3200,16000,ЪЯбэШ ксь ЧсубЧцлЩ 8,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 8
18,1109,11,45,9,100,2,3600,18000,ЪЯбэШ ксь ЧсубЧцлЩ 9,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 9
19,1110,11,50,10,100,2,4000,20000,ЪЯбэШ ксь ЧсубЧцлЩ 10,убЧцлЩ,Training_Dribble,ЪЯбэШ ксь ЧсубЧцлЩ 10
20,1201,12,5,1,100,2,400,2000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 1,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 1
21,1202,12,10,2,100,2,800,4000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 2,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 2
22,1203,12,15,3,100,2,1200,6000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 3,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 3
23,1204,12,20,4,100,2,1600,8000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 4,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 4
24,1205,12,25,5,100,2,2000,10000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 5,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 5
25,1206,12,30,6,100,2,2400,12000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 6,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 6
26,1207,12,35,7,100,2,2800,14000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 7,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 7
27,1208,12,40,8,100,2,3200,16000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 8,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 8
28,1209,12,45,9,100,2,3600,18000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 9,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 9
29,1210,12,50,10,100,2,4000,20000,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 10,ЮнЩ ЧсЭбпЩ,Training_Quick,ЪЯбэШ ксь ЮнЩ ЧсЭбпЩ 10
30,1301,13,5,1,100,2,400,2000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 1,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 1
31,1302,13,10,2,100,2,800,4000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 2,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 2
32,1303,13,15,3,100,2,1200,6000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 3,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 3
33,1304,13,20,4,100,2,1600,8000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 4,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 4
34,1305,13,25,5,100,2,2000,10000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 5,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 5
35,1306,13,30,6,100,2,2400,12000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 6,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 6
36,1307,13,35,7,100,2,2800,14000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 7,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 7
37,1308,13,40,8,100,2,3200,16000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 8,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 8
38,1309,13,45,9,100,2,3600,18000,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 9,оЯбЩ ЧсЪЭус,Training_Stamina,ЪЯбэШ ксь оЯбЩ ЧсЪЭус 9
