Index,Code,Name,TypeText,Type,Position,Area,Point,Cash
0,100,기본 부스터팩,모든 카드,10,0,0,100,100
1,210,공격수 부스터팩,포지션별,20,10,0,500,500
2,220,미드필더 부스터팩,포지션별,20,20,0,500,500
3,230,수비수 부스터팩,포지션별,20,30,0,500,500
4,301,공격득점형 부스터팩,행동유형,30,0,1,1000,800
5,302,공격밸런스형 부스터팩,행동유형,30,0,2,1000,800
6,303,공격어시스트형 부스터팩,행동유형,30,0,3,1000,800
7,304,공격드리블형 부스터팩,행동유형,30,0,4,1000,800
8,305,중앙 조율형 부스터팩,행동유형,30,0,5,1000,800
9,306,올라운드형 부스터팩,행동유형,30,0,6,1000,800
10,307,수비 공중형 부스터팩,행동유형,30,0,7,1000,800
11,308,수비 필드형 부스터팩,행동유형,30,0,8,1000,800
12,309,수비 밸런스형 부스터팩,행동유형,30,0,9,1000,800
13,310,사이드 수비형 부스터팩,행동유형,30,0,10,1000,800
14,311,사이드 공격형 부스터팩,행동유형,30,0,11,1000,800
15,312,사이드 밸런수형 부스터팩,행동유형,30,0,12,1000,800
