Code,Adjust,Explain
100,달리기,달리기
101,드리블,드리블
102,순발력,순발력
103,지구력,지구력
104,탄력,탄력
105,몸싸움,몸싸움
106,크로스,크로스
107,숏패스,숏패스
108,롱패스,롱패스
109,헤딩슛,헤딩슛
110,단거리슛,단거리슛
111,중거리슛,중거리슛
112,키핑,키핑
113,스틸,스틸
114,태클,태클
115,캐치,캐치
116,펀치,펀치
117,가드,가드
200,공격력,단거리+중거리
201,수비력,스틸+태클
202,제공권,탄력+헤딩
203,패스능력,숏패스+롱패스
204,이동능력,달리기+드리블
205,체력,순발력+지구력
206,돌파력,몸싸움+키핑
207,모든 능력치,모든 능력치
208,모든 치명타,모든 치명타
209,스킬 쿨타임 감소,모든 스킬 쿨타임
210,치명적 단거리율,치타
211,치명적 중거리율,치타
212,치명적 태클율,치타
213,치명적 스틸율,치타
214,치명적 태클율,치타
215,치명적 헤딩율,치타
216,치명적 몸싸움율,치타
300,행운,아이템 인첸트확률 증가
301,경험치,경험치 증가
302,포인트,포인트 증가
