Code,Message
1,*** 메세지 관련(10000번대) ***
10001,서버와의 연결이 끊겼습니다.
10002,ConnectTCPSocket -1 error
10003,ConnectTCPSocket Time Out error
10004,ConnectTCPSocket else error
2,*** 인터페이스 관련(20000번대) ***
20001,공격수
20100,네트워크를 설정하고 있습니다.
20101,%s님에 의해 플레이가 취소 되었습니다.
20102,%s님이 방에서 나가셨습니다.
20103,%s님이 강제 퇴장 되셨습니다.
20104,조건이 맞지 않아 게임이 취소되었습니다.
20201,아이템이 정상적으로 구입되었습니다.
20202,아이템이 정상적으로 교환되었습니다.
20203,스킬이 정상적으로 구매되었습니다.
20204,세레모니가 정상적으로 구매되었습니다.
20205,훈련이 정상적으로 구매되었습니다.
20206,찜 리스트에 등록하였습니다
20207,이미 찜 리스트에 등록된 상품입니다
20208,찜 리스트에서 상품을 제거 했습니다.
20209,찜 리스트에 없는 상품입니다.
20210,새 상품을 보시려면 100 POINT 가 필요합니다.\새 상품을 보시겠습니까?
20300,캐릭터 선택 화면에서는 키설정이 불가능 합니다
20301,대기방에서는 비디오 옵션 설정이 불가능 합니다
20400,준비중인 서비스 입니다
20500,초대할 사용자를 선택하지 않았습니다.
20600,현재 사용자의 모니터는 1280*720 해상도에서 풀화면 모드를 지원하지 않습니다.
20700,언어설정 변경은 프로그램이 재시작되어야 적용 됩니다. 프로그램을 종료하시겠습니까?
20800,이미 완료한 퀘스트 입니다.
20900,전직을 수행하지 않았습니다.\전직창으로 이동합니다.
20901,20레벨 미만이거나 해당 포지션으로 전직 할 수 없는 포지션입니다.
21000,안티 앨리어싱 설정이 변경되었습니다. 적용을 위해 다시 시작해주세요.
22000,같은 랭크의 카드만 조합 될 수 있습니다.
23000,선택된 파일이 없습니다.
24000,보너스 AI선수 카드가 지급 되었습니다.\인벤토리에서 확인 할 수 있습니다.
25000,엔트리를 먼저 등록해 주세요.
26000,5회 로그인 시도에 실패하였습니다.\프로그램을 종료합니다.
3,*** 프로토콜 관련 ***
100011,시스템에 문제가 발생하였습니다.
100013,존재하지 않는 계정입니다.
100014,해당 계정의 암호가 틀립니다.
100015,운영자에 의해 블럭된 계정입니다.
100016,현재 서버 점검중입니다.\잠시후에 이용하여 주시기 바랍니다.
100017,버전이 맞지 않습니다.
100024,이미 접속되어 있는 계정입니다.\접속되어있는 계정을 끊으시겠습니까?
100099,메세지 내역 설정이 되지 않았습니다.
120213,캐릭터명이 이미 사용 중입니다.
120214,사용할 수 없는 캐릭터명입니다.
120215,캐릭터 생성 횟수를 초과했습니다.
120314,주민등록번호가 틀려 삭제할 수 없습니다.
120315,삭제한지 7일이 되지 않아 삭제할 수 없습니다.
120316,해당 캐릭터가 존재하지 않습니다.
120513,캐릭터명이 이미 존재합니다.
120514,사용할 수 없는 캐릭터명입니다.
130113,해당 서버가 존재하지 않습니다.
130114,해당 서버가 점검중 입니다.
200001,해당 캐릭터가 이미 접속중입니다.
200010,사용가능한 능력치를 초과한 캐릭터입니다. 
200011,최대 접속자 수를 초과하였습니다.
200212,네트웍(UDP) 설정에 실패하였습니다.
200213,같은 이름이 존재합니다.
200214,캐릭터 이름을 입력해 주세요.
200215,캐릭터 이름의 첫 글자로 숫자는 올수 없습니다
200216,"캐릭터 이름은 한글, 영문대소문자,\숫자, 중괄호[] 조합만 가능합니다."
200217,"캐릭터 이름은 한글 2~7자, 영문 4~14자만\가능합니다."
200218,캐릭터 이름의 중복체크를 하지 않았거나\중복된 캐릭터 이름이 있습니다.
200219,은(는) 사용할 수 있는 아이디 입니다\이 아이디를 사용하시겠습니까?
220301,생성 가능한 최대 방 개수를 초과하였습니다.
220411,현재 인원수보다 적게 설정할 수 없습니다.
220412,레벨 설정이 잘못되었습니다.
220413,현재 인원의 레벨보다 낮게 설정할 수 없습니다.
220414,현재 인원의 레벨보다 높게 설정할 수 없습니다.
220415,플레이어 중 포인트가 부족한 사람이 존재합니다.
220511,해당 방이 존재하지 않습니다.
220512,게임이 진행 중이므로 진입할 수 없습니다.
220513,방 비밀번호가 맞지 않습니다.
220514,포지션이 맞지 않아 진입할 수 없습니다.
220515,최대 허용 인원수를 초과하였습니다.
220516,해당 캐릭터가 이미 방안에 존재합니다.
220517,레벨이 맞지 않아 진입 할 수 없습니다.
220518,내기방에 입장할 수 있는 포인트가 없습니다. 
220611,입장할 수 있는 방이 없습니다.
230903,방장만 강제 퇴장 시킬 수 있습니다.
231001,해당 사용자가 존재하지 않습니다.
231002,상대방이 초대 거부 상태입니다.
231400,차단리스트에 정상적으로 추가되었습니다.
231411,본인은 리스트에 추가할 수 없습니다.
231412,해당 사용자가 존재하지 않습니다.
231413,해당 사용자가 리스트에 이미 존재합니다.
231500,정상적으로 삭제 되었습니다.
231511,해당 사용자가 리스트에 존재하지 않습니다.
231700,친구리스트에 정상적으로 추가되었습니다.
231711,본인은 리스트에 추가할 수 없습니다.
231712,해당 사용자가 존재하지 않습니다.
231713,해당 사용자가 리스트에 이미 존재합니다.
231800,정상적으로 삭제 되었습니다.
231811,해당 사용자가 리스트에 존재하지 않습니다.
240002,방장만 플레이를 시작할 수 있습니다.
240003,방장과 주장만 플레이를 취소할 수 있습니다.
240004,양팀의 인원수가 달라 시작할 수 없습니다.
240114,포인트가 부족한 플레이어가 있어서 게임을 시작하지 못했습니다.
240115,인원수가 맞지 않아 시작할 수 없습니다.
240116,관전자는 내기방에 입장할 수 없습니다.
250102,같은 자리로 변경할 수 없습니다.
250111,변경하기 위한 자리가 없습니다.
250202,주장만 포지션을 변경할 수 있습니다.
250211,공격수 포지션 설정이 잘못되었습니다.
250212,미드필더 포지션 설정이 잘못되었습니다.
250213,수비수 포지션 설정이 잘못되었습니다.
250214,골키퍼 포지션 설정이 잘못되었습니다.
250300,지난 경기를 녹화했습니다.
250301,지난 경기 결과가 없습니다.
250302,지난 경기가 없습니다.
250400,전직 전용 튜토리얼을 수행 하지 않았습니다.
260001,캐릭터가 선택되지 않았습니다.
310212,해당 아이템이 존재하지 않습니다.
310403,보관 가능한 아이템 최대 개수를 초과하였습니다.
310404,존재하지 않는 아이템을 구입하려 하였습니다.
310405,레벨 제한으로 구입할 수 없습니다.
310411,코인 가격 정보가 손상되었습니다.
310412,코인 가격 정보에 문제가 발생하였습니다.
310413,코인 관련 데이터베이스에 문제가 발생하였습니다.
310414,코인이 부족하여 구입할 수 없습니다.
310415,이미 더 높은 수준의 트레이닝이 수행되었습니다
310416,레벨에 맞지 않는 트레이닝 입니다
310421,포인트 가격 정보가 손상되었습니다.
310422,포인트 가격 정보에 문제가 발생하였습니다.
310423,포인트 관련 데이터베이스에 문제가 발생하였습니다.
310424,포인트가 부족하여 구입할 수 없습니다.
310702,보내려는 아이템이 존재하지 않습니다. 
311103,보관 가능한 아이템 최대 개수를 초과하였습니다.
311104,존재하지 않는 아이템을 구입하려 하였습니다.
311105,레벨 제한으로 구입할 수 없습니다.
311111,코인 가격 정보가 손상되었습니다.
311112,코인 가격 정보에 문제가 발생하였습니다.
311113,코인 관련 데이터베이스에 문제가 발생하였습니다.
311114,코인이 부족하여 구입할 수 없습니다.
311115,이미 더 높은 수준의 트레이닝이 수행되었습니다
311116,레벨에 맞지 않는 트레이닝 입니다
311121,포인트 가격 정보가 손상되었습니다.
311122,포인트 가격 정보에 문제가 발생하였습니다.
311123,포인트 관련 데이터베이스에 문제가 발생하였습니다.
311124,포인트가 부족하여 구입할 수 없습니다.
311204,더 이상 강화 할 수 없습니다.
311303,포인트가 부족하여 새상품을 볼 수 없습니다.
311502,이미 아이템으로 전환된 선물입니다.
311603,해당 아이템이 존재하지 않습니다.
311604,착용 중인 아이템은 되팔 수 없습니다.
320212,해당 스킬을 찾을 수 없습니다.
320213,스킬 슬롯이 부족하여 스킬을 장착할 수 없습니다.
320403,더 이상 스킬을 업그레이드 할 수 없습니다.
320404,존재하지 않는 스킬을 구입하려 하였습니다.
320405,레벨 제한으로 구입할 수 없습니다.
320406,이미 소유하고 있는 스킬입니다.
320511,스킬포인트가 부족하여 강화할 수 없습니다.
320512,존재하지 않거나 폐기된 스킬을 강화하려 하였습니다.
320513,이 스킬을 더이상 강화할 수 없습니다.
330212,해당 세레모니를 찾을 수 없습니다.
330415,이미 더 높은 수준의 트레이닝을 수행한 상태입니다.
330416,현재 레벨에서 트레이닝할 수 없는 아이템입니다.
340212,해당 훈련을 찾을 수 없습니다.
340406,이미 구입한 세레모니 입니다.
360403,보관 가능한 카드 최대 개수를 초과하였습니다.
500102,해당 사용자가 존재하지 않습니다.
500103,채팅금지 상태입니다. (남은시간 : %d초)
500104,상대방이 귓속말 거부 상태입니다.
500211,특성치 수치에 문제가 발생하였습니다.
500212,보너스 특성치가 부족합니다.
