Index,Code,Type,Word
0,10001,2,운영자
1,10002,2,개발자
2,10003,2,자지
3,10004,2,보지
4,10005,2,개새끼
5,10006,2,시발
6,10007,2,씨발
7,10008,2,fuck
8,10009,2,sex
9,10010,2,suck
10,10011,2,씹새끼
11,10012,2,섹스
12,10013,2,쎅스
13,10014,2,GM
14,10015,1,이청용
15,10042,1,이운재
16,10043,1,정성룡
17,10044,1,김영광
18,10045,1,이정수
19,10046,1,곽태휘
20,10047,1,이영표
21,10048,1,황재원
22,10049,1,조용형
23,10050,1,홍정호
24,10051,1,최효진
25,10052,1,김영권
26,10053,1,박주호
27,10054,1,김민우
28,10055,1,박지성
29,10056,1,기성용
30,10057,1,김보경
31,10058,1,김재성
32,10059,1,백지훈
33,10060,1,윤빛가람
34,10061,1,조영철
35,10062,1,박주영
36,10063,1,이근호
37,10064,1,이승렬
38,10065,1,염기훈
39,10066,1,지동원
40,10067,1,황선홍
41,10068,1,안정환
42,10069,1,이천수
43,10070,1,최성국
44,10071,1,이동국
45,10072,1,김용대
46,10073,1,강민수
47,10074,1,김상식
48,10075,1,김치곤
49,10076,1,김진규
50,10077,1,송종국
51,10078,1,김동진
52,10079,1,김치우
53,10080,1,오범석
54,10081,1,오장은
55,10082,1,김정우
56,10083,1,이호
57,10084,1,김두현
58,10085,1,손대호
59,10086,1,조재진
60,10087,1,우성용
61,10088,1,지소연
62,10089,1,서현숙
63,10090,1,김나래
64,10091,1,임선주
65,10092,1,전은하
66,10093,1,김진영
67,10094,1,차범근
68,10095,1,차두리
69,10096,1,김정미
70,10097,1,전민경
71,10098,1,김스리
72,10099,1,조소현
73,10100,1,최수진
74,10101,1,류지은
75,10102,1,신순남
76,10103,1,심서연
77,10104,1,김도연
78,10105,1,강선미
79,10106,1,이세은
80,10107,1,이장미
81,10108,1,김수연
82,10109,1,이은미
83,10110,1,권하늘
84,10111,1,김희영
85,10112,1,차연희
86,10113,1,유영아
87,10114,1,최선진
88,10115,1,정혜인
89,10116,1,전가을
90,10117,1,김주영
91,10118,1,이청용
92,10119,1,석현준
