Index,Code,Position,StartLevel,EndLevel,Scale,Limit,Join,Repeat,Condition,Kind1,GiftCode1,Amount1,Kind2,GiftCode2,Amount2,Kind3,GiftCode3,Amount3,Home1,Home2,Home3,Home4,Home5,Home6,Away1,Away2,Away3,Away4,Away5,Away6,Title,IconFile,Kind,Explain
0,100,0,0,0,0,0,0,0,0,12,0,200,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
1,101,0,0,0,0,0,0,0,0,12,0,200,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
2,102,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
3,103,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
4,104,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
5,105,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
6,106,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
7,107,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
8,108,0,0,0,0,0,0,0,0,12,0,200,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-
9,1002,50,1,10,5,1,1,1,0,12,0,200,15,0,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,정확한 슛팅,PositionIcon_ALL,1,D(왼쪽 슈팅) F(오른쪽 슛팅)을 사용하여 슛팅을 기록하자
10,1003,50,1,10,5,1,1,1,0,12,0,300,15,0,400,0,0,0,1,20,0,0,0,0,0,0,0,0,0,40,다이나믹 다이렉트 슛,PositionIcon_ALL,1,D(왼쪽 슛팅) F(오른쪽 슛팅)을 미리 입력하여 다이렉트 슛팅을 기록하자
11,1004,50,1,10,5,1,1,1,0,12,0,450,15,0,400,0,0,0,1,20,20,30,0,0,0,0,0,0,0,40,골을 기록하라,PositionIcon_ALL,1,AI 3명의 도움을 받아 게이지 슛팅 또는 다이렉트 슛팅을 시도하여 3분 이내에 1개 이상의 골을 기록하자
12,1005,50,1,10,5,1,1,1,0,12,0,300,15,0,400,0,0,0,1,20,20,0,0,0,0,0,0,0,0,40,연결 고리 패스,PositionIcon_ALL,1,A(롱패스) S(숏패스) 키를 이용하여 AI에게 공을 패스하자
13,1006,50,1,10,5,1,1,1,0,12,0,300,15,0,500,0,0,0,1,0,0,0,0,40,10,0,0,0,0,0,거친 태클,PositionIcon_ALL,1,Q(태클) 키를 이용하여 드리블 하는 AI의 공을 빼앗자
14,1007,50,1,10,5,1,1,1,0,12,0,300,15,0,600,0,0,0,1,0,0,0,0,40,10,20,0,0,0,0,든든한 벽,PositionIcon_ALL,1,"A, D, F 키를 이용하여 수비 지역에서의 클리어링을 성공하라"
15,1008,50,1,10,5,1,1,1,0,12,0,450,15,0,600,0,0,0,1,30,0,0,0,40,10,10,20,30,0,40,승리를 지켜라,PositionIcon_ALL,1,같은 팀 AI 2명의 도움을 받아 2분 30초 동안 상대 AI 4명의 공격을 방어해내라
16,1009,50,1,10,5,1,1,1,0,12,0,450,15,0,600,0,0,0,1,10,20,30,0,40,10,20,30,0,0,40,반드시 승리하라 I,PositionIcon_ALL,1,같은 팀 AI 4명과 한 팀을 이뤄서 AI 4명으로 구성된 상대팀과의 경기를 수행하자. 제한 시간 3분동안 2:0으로 이기고 있는 상황. 반드시 승리하라
17,1010,50,1,10,5,1,3,1,0,12,0,450,15,0,600,0,0,0,1,1,1,30,0,40,10,20,30,0,0,40,반드시 승리하라 II,PositionIcon_ALL,2,유저 1명 또는 2명과 함께 팀을 구성하여 AI 포함 5명의 한 팀을 만들자. 제한 시간 3분동안 AI 4명으로 구성된 상대팀과의 경기를 수행하자. 스코어 3:1 반드시 승리하라
18,1011,1,10,50,5,1,2,1,0,12,0,800,15,0,600,0,0,0,1,1,0,0,0,40,10,10,20,30,0,40,승리를 지켜라 Ⅳ,PositionIcon_ALL,2,유저 1명과 팀을 구성하여 2분 동안 상대 AI 4명의 공격을 방어해내라
19,1012,1,10,50,5,1,2,1,0,12,0,800,15,0,600,0,0,0,1,1,0,0,0,40,10,20,30,0,0,40,반드시 승리하라 Ⅴ,PositionIcon_ALL,2,유저 1명과 함께 팀을 구성하여 AI 포함 5명의 한 팀을 만들자. 제한 시간 2분 30초 동안 AI 4명으로 구성된 상대팀과의 경기를 수행하자. 스코어 1:1 반드시 승리하라
