Index,Code,Ratio,Title
0,100,100,항상
1,101,40,연장전에서
2,111,40,시작후 1분 동안
3,113,30,시작후 3분 동안
4,115,20,시작후 5분 동안
5,121,40,종료전 1분 동안
6,122,30,종료전 2분 동안
7,130,30,무승부 상황에서
8,140,20,이기고 있을 때
9,142,50,2점+ 이기고 있을 때
10,150,20,지고 있을 때
11,152,50,2점+ 지고 있을 때
12,160,40,노마크 시
13,161,30,마크 시
14,162,50,2명 이상 마크 시
15,163,50,3명 이상 마크 시
16,171,30,역습 시
17,172,30,역습 당할 시
18,181,50,단거리 지역에서
19,182,50,중거리 지역에서
20,183,50,크로스 지역에서
21,184,50,중앙 지역에서
22,185,50,같은팀 진영에서
23,186,50,상대팀 진영에서
24,187,50,수비 지역에서
