Index,Code,Type,Position,Name,Pos,Class,Order,Limit1,Limit2,Limit3,Level,depend1,depend2,depend3,depend4,depend5,Area1,Area2,Area3,Cool1,Cool2,Cool3,Value1,Value2,Value3,Discount,Sell,Cash1,Cash2,Cash3,Point1,Point2,Point3,Key,AniCode,IconFile,CameraFile,OptionText,ExplainText,KeyText,Description
0,101110,1011,10,인프론트 슛,FW,10,11,7,11,11,3,90241001,0,0,0,0,1,1,1,120,90,60,5,10,15,100,2,100,100,100,1000,2000,5000,0,20112100,Skill_1011,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 단거리 지역 내에서 슈팅 하는 스킬,D or F,구현
1,101211,1012,11,라보나 킥,ST,10,12,20,20,20,3,90201101,90121101,0,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,7500,15000,37500,0,20132100,Skill_1012,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 단거리 지역 내에서 슈팅 하는 스킬,D or F,애니 없음
2,101212,1012,12,라보나킥,CF,10,12,20,20,20,3,90201201,90121201,0,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,7500,15000,37500,0,20132100,Skill_1012,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 단거리 지역 내에서 슈팅 하는 스킬,D or F,애니 없음
3,101214,1012,14,라보나 킥,SS,10,12,20,20,20,3,90201401,90121402,0,0,0,1,1,1,80,60,40,10,15,20,100,2,100,100,100,6250,12500,31250,0,20132100,Skill_1012,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 단거리 지역 내에서 슈팅 하는 스킬,D or F,애니 없음
4,101314,1013,14,파워풀 슛,SS,10,13,20,20,20,3,90131401,12321401,12341401,0,0,2,2,2,120,90,60,5,10,15,100,2,100,100,100,7500,15000,37500,0,20122100,Skill_1013,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 중거리 지역 내에서 슈팅 하는 스킬,D or F,구현
5,101320,1013,20,파워풀 슛,MF,10,13,7,11,11,3,12112001,90242001,11322001,0,0,2,2,2,120,90,60,5,10,15,100,2,100,100,100,1000,2000,5000,0,20122100,Skill_1013,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 중거리 지역 내에서 슈팅 하는 스킬,D or F,구현
6,101413,1014,13,턴 라운드 킥,WF,10,14,20,20,20,3,0,0,0,0,0,1,1,1,80,60,40,10,15,20,100,0,100,100,100,7500,15000,37500,1,20142100,Skill_1014,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 단거리 지역 내에서 슈팅 하는 스킬,키 설정,애니 없음
7,101523,1015,23,리어 슛,SM,10,15,20,20,20,3,90132301,20122302,0,0,0,2,2,2,120,90,60,5,10,15,100,2,100,100,100,7500,15000,37500,0,20152100,Skill_1015,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 리어 지역에서 슈팅 하는 스킬,D or F,애니 없음
8,101621,1016,21,캐논 슛,AM,10,16,20,20,20,3,90132102,90122102,0,0,0,2,2,2,160,120,80,5,10,15,100,2,100,100,100,5000,10000,25000,0,20162100,Skill_1016,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 중거리 지역 내에서 슈팅 하는 스킬,D or F,구현
9,101624,1016,24,캐논 슛,DM,10,16,20,20,20,3,90112401,19122401,12352402,0,0,2,2,2,160,120,80,5,10,15,100,2,100,100,100,7500,15000,37500,0,20162100,Skill_1016,UI_Skill_Cam1,슈팅 성공 확률 증가,공 소유시 중거리 지역 내에서 슈팅 하는 스킬,D or F,구현
