Index,Code,Type,Limit,Value,Discount,Sell,Cash,Point,Name,LearnText,IconFile,Explain
0,1001,10,5,1,100,2,400,2000,´Þ¸®±â ÈÆ·Ã 1,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 1
1,1002,10,10,2,100,2,800,4000,´Þ¸®±â ÈÆ·Ã 2,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 2
2,1003,10,15,3,100,2,1200,6000,´Þ¸®±â ÈÆ·Ã 3,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 3
3,1004,10,20,4,100,2,1600,8000,´Þ¸®±â ÈÆ·Ã 4,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 4
4,1005,10,25,5,100,2,2000,10000,´Þ¸®±â ÈÆ·Ã 5,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 5
5,1006,10,30,6,100,2,2400,12000,´Þ¸®±â ÈÆ·Ã 6,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 6
6,1007,10,35,7,100,2,2800,14000,´Þ¸®±â ÈÆ·Ã 7,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 7
7,1008,10,40,8,100,2,3200,16000,´Þ¸®±â ÈÆ·Ã 8,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 8
8,1009,10,45,9,100,2,3600,18000,´Þ¸®±â ÈÆ·Ã 9,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 9
9,1010,10,50,10,100,2,4000,20000,´Þ¸®±â ÈÆ·Ã 10,´Þ¸®±â,Training_Run,´Þ¸®±â ÈÆ·Ã 10
10,1101,11,5,1,100,2,400,2000,µå¸®ºí ÈÆ·Ã 1,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 1
11,1102,11,10,2,100,2,800,4000,µå¸®ºí ÈÆ·Ã 2,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 2
12,1103,11,15,3,100,2,1200,6000,µå¸®ºí ÈÆ·Ã 3,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 3
13,1104,11,20,4,100,2,1600,8000,µå¸®ºí ÈÆ·Ã 4,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 4
14,1105,11,25,5,100,2,2000,10000,µå¸®ºí ÈÆ·Ã 5,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 5
15,1106,11,30,6,100,2,2400,12000,µå¸®ºí ÈÆ·Ã 6,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 6
16,1107,11,35,7,100,2,2800,14000,µå¸®ºí ÈÆ·Ã 7,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 7
17,1108,11,40,8,100,2,3200,16000,µå¸®ºí ÈÆ·Ã 8,µå¸®ºí,Training_Dribble,µå¸®ºí ÈÆ·Ã 8
