ObjectName,AlphaProperty,AlphaValue,ZBufferWrite,ZBufferWriteValue,ZBufferTest,ZBufferTestValue
dam_con:7,OK,0,NO,1,NO,1
Snow01,OK,1,OK,0,NO,1
Flat:19,OK,0,NO,1,NO,1
ground:0,OK,0,NO,1,NO,1
ground:1,OK,0,NO,1,NO,1
ground01:0,OK,0,NO,1,NO,1
ground01:1,OK,0,NO,1,NO,1
Pannel_0:0,OK,0,NO,1,NO,1
Pannel_0:1,OK,0,NO,1,NO,1
Flat:20,OK,0,NO,1,NO,1
Flat:15,OK,0,NO,1,NO,1
Flat:23,OK,0,NO,1,NO,1
background_01:0,OK,0,NO,1,NO,1
background_01:1,OK,0,NO,1,NO,1
background_01:7,OK,0,NO,1,NO,1
background_01:8,OK,0,NO,1,NO,1
background_01:12,OK,0,NO,1,NO,1
background_01:73,OK,0,NO,1,NO,1
background_01:84,OK,0,NO,1,NO,1
dam_con:8,OK,0,NO,1,NO,1
dam_con:9,OK,0,NO,1,NO,1
dam_con:12,OK,0,NO,1,NO,1
dam_con:39,OK,0,NO,1,NO,1
dam_con:61,OK,0,NO,1,NO,1
dam_con:7,OK,0,NO,1,NO,1
Pannel_Wall:0,OK,0,NO,1,NO,1
Pannel_Wall:1,OK,0,NO,1,NO,1
