Code,Costume_0,Costume_1,Costume_2,Costume_3,Costume_4,Costume_5,Costume_6,Costume_7,Costume_8,Costume_9,Costume_10,Costume_11,Costume_12,Costume_13,Costume_14,Costume_15,Costume_16
0,101101111,102101101,103101101,201001101,202001101,203001101,204001101,205101101,301101101,302101101,303101101,401101101,402101101,403101101,0,0,0
1,101101111,102102101,103101201,201001102,202001102,203102101,204001102,205101102,301101102,302101102,303102101,401102101,402102101,403102101,0,0,0
2,101101111,102105101,103101301,201001103,202001103,203001101,204001103,205101103,301101103,302101103,303102102,401103101,402103101,403103101,0,0,0
3,101101111,102106101,103101401,201101101,202101101,203102101,204001104,205101104,301101104,302101104,303102103,401101101,402101101,403101101,0,0,0
4,101101111,102107101,103101101,201101102,202103101,203001101,204103101,205102101,301102101,302102101,303102104,401102101,402102101,403102101,0,0,0
5,101101111,102101101,103101201,201101103,202103102,203102101,204103201,205102102,301102102,302102102,303103101,401103101,402103101,403103101,0,0,0
6,101101111,102102101,103101301,201103101,202103103,203001101,204103101,205102103,301102103,302102103,303103102,401101101,402101101,403101101,0,0,0
7,101101111,102105101,103101401,201103102,202105101,203102101,204103201,205102104,301102104,302102104,303103103,401102101,402102101,403102101,0,0,0
8,101101111,102106101,103101101,201103103,202107101,203001101,204103101,205102201,301103101,302103101,303103104,401103101,402103101,403103101,0,0,0
9,101101111,102107101,103101201,201105101,202101101,203102101,204103201,205102202,301103102,302103102,303102102,401101101,402101101,403101101,0,0,0
10,101101111,102101101,103101301,201105102,202103101,203001101,204103101,205102203,301103103,302103103,303102103,401102101,402102101,403102101,0,0,0
11,101101111,102102101,103101401,201105103,202103102,203102101,204103201,205102204,301103104,302103104,303102104,401103101,402103101,403103101,0,0,0
12,101101111,102105101,103101101,201107101,202103103,203102101,204103101,205102102,301101102,302103102,303103101,401101101,402101101,403101101,0,0,0
13,101101112,102101101,103101101,201001101,202001101,203001101,204001101,205101101,301101101,302101101,303101101,401101101,402101101,403101101,0,0,0
14,101101112,102102101,103101201,201001102,202001102,203102101,204001102,205101102,301101102,302101102,303102101,401102101,402102101,403102101,0,0,0
15,101101112,102105101,103101301,201001103,202001103,203001101,204001103,205101103,301101103,302101103,303102102,401103101,402103101,403103101,0,0,0
16,101101112,102106101,103101401,201101101,202101101,203102101,204001104,205101104,301101104,302101104,303102103,401101101,402101101,403101101,0,0,0
17,101101112,102107101,103101101,201101102,202103101,203001101,204103101,205102101,301102101,302102101,303102104,401102101,402102101,403102101,0,0,0
18,101101112,102101101,103101201,201101103,202103102,203102101,204103201,205102102,301102102,302102102,303103101,401103101,402103101,403103101,0,0,0
19,101101112,102102101,103101301,201103101,202103103,203001101,204103101,205102103,301102103,302102103,303103102,401101101,402101101,403101101,0,0,0
20,101101112,102105101,103101401,201103102,202105101,203102101,204103201,205102104,301102104,302102104,303103103,401102101,402102101,403102101,0,0,0
21,101101112,102106101,103101101,201103103,202107101,203001101,204103101,205102201,301103101,302103101,303103104,401103101,402103101,403103101,0,0,0
22,101101112,102107101,103101201,201105101,202101101,203102101,204103201,205102202,301103102,302103102,303102102,401101101,402101101,403101101,0,0,0
23,101101112,102101101,103101301,201105102,202103101,203001101,204103101,205102203,301103103,302103103,303102103,401102101,402102101,403102101,0,0,0
24,101101112,102102101,103101401,201105103,202103102,203102101,204103201,205102204,301103104,302103104,303102104,401103101,402103101,403103101,0,0,0
25,101101112,102105101,103101101,201107101,202103103,203102101,204103101,205102102,301101102,302103102,303103101,401101101,402101101,403101101,0,0,0
26,101101113,102101101,103101101,201001101,202001101,203001101,204001101,205101101,301101101,302101101,303101101,401101101,402101101,403101101,0,0,0
27,101101113,102102101,103101201,201001102,202001102,203102101,204001102,205101102,301101102,302101102,303102101,401102101,402102101,403102101,0,0,0
28,101101113,102105101,103101301,201001103,202001103,203001101,204001103,205101103,301101103,302101103,303102102,401103101,402103101,403103101,0,0,0
29,101101113,102106101,103101401,201101101,202101101,203102101,204001104,205101104,301101104,302101104,303102103,401101101,402101101,403101101,0,0,0
30,101101113,102107101,103101101,201101102,202103101,203001101,204103101,205102101,301102101,302102101,303102104,401102101,402102101,403102101,0,0,0
31,101101113,102101101,103101201,201101103,202103102,203102101,204103201,205102102,301102102,302102102,303103101,401103101,402103101,403103101,0,0,0
32,101101113,102102101,103101301,201103101,202103103,203001101,204103101,205102103,301102103,302102103,303103102,401101101,402101101,403101101,0,0,0
33,101101113,102105101,103101401,201103102,202105101,203102101,204103201,205102104,301102104,302102104,303103103,401102101,402102101,403102101,0,0,0
34,101101113,102106101,103101101,201103103,202107101,203001101,204103101,205102201,301103101,302103101,303103104,401103101,402103101,403103101,0,0,0
35,101101113,102107101,103101201,201105101,202101101,203102101,204103201,205102202,301103102,302103102,303102102,401101101,402101101,403101101,0,0,0
36,101101113,102101101,103101301,201105102,202103101,203001101,204103101,205102203,301103103,302103103,303102103,401102101,402102101,403102101,0,0,0
37,101101113,102102101,103101401,201105103,202103102,203102101,204103201,205102204,301103104,302103104,303102104,401103101,402103101,403103101,0,0,0
38,101101113,102105101,103101101,201107101,202103103,203102101,204103101,205102102,301101102,302103102,303103101,401101101,402101101,403101101,0,0,0
39,101101121,102103101,103101101,201002101,202002101,203002101,204002101,205101101,301101101,302101101,303101101,401101101,402101101,403101101,0,0,0
40,101101121,102104101,103101201,201102101,202102101,203102101,204002102,205101102,301101102,302101102,303102101,401102101,402102101,403102101,0,0,0
41,101101121,102103101,103101301,201104101,202104101,203002101,204002103,205101103,301101103,302101103,303102102,401103101,402103101,403103101,0,0,0
42,101101121,102104101,103101401,201106101,202106101,203102101,204002104,205101104,301101104,302101104,303102103,401101101,402101101,403101101,0,0,0
43,101101121,102103101,103101101,201108101,202108101,203102101,204103101,205102101,301102101,302102101,303102104,401102101,402102101,403102101,0,0,0
44,101101121,102104101,103101201,201002101,202102101,203002101,204103201,205102102,301102102,302102102,303103101,401103101,402103101,403103101,0,0,0
45,101101121,102103101,103101301,201102101,202104101,203102101,204002101,205102103,301102103,302102103,303103102,401101101,402101101,403101101,0,0,0
46,101101121,102104101,103101401,201104101,202106101,203002101,204002102,205102104,301102104,302102104,303103103,401102101,402102101,403102101,0,0,0
47,101101121,102103101,103101101,201106101,202108101,203102101,204002103,205102201,301103101,302103101,303103104,401103101,402103101,403103101,0,0,0
48,101101121,102104101,103101201,201108101,202104101,203102101,204002104,205102202,301103102,302103102,303102104,401101101,402101101,403101101,0,0,0
49,101101121,102103101,103101301,201106101,202106101,203102101,204103101,205102203,301103103,302103103,303103101,401102101,402102101,403102101,0,0,0
50,101101121,102104101,103101401,201108101,202108101,203102101,204103201,205102204,301103104,302103104,303103102,401103101,402103101,403103101,0,0,0
51,101101122,102103101,103101101,201002101,202002101,203002101,204002101,205101101,301101101,302101101,303101101,401101101,402101101,403101101,0,0,0
52,101101122,102104101,103101201,201102101,202102101,203102101,204002102,205101102,301101102,302101102,303102101,401102101,402102101,403102101,0,0,0
53,101101122,102103101,103101301,201104101,202104101,203002101,204002103,205101103,301101103,302101103,303102102,401103101,402103101,403103101,0,0,0
54,101101122,102104101,103101401,201106101,202106101,203102101,204002104,205101104,301101104,302101104,303102103,401101101,402101101,403101101,0,0,0
55,101101122,102103101,103101101,201108101,202108101,203102101,204103101,205102101,301102101,302102101,303102104,401102101,402102101,403102101,0,0,0
56,101101122,102104101,103101201,201002101,202102101,203002101,204103201,205102102,301102102,302102102,303103101,401103101,402103101,403103101,0,0,0
57,101101122,102103101,103101301,201102101,202104101,203102101,204002101,205102103,301102103,302102103,303103102,401101101,402101101,403101101,0,0,0
58,101101122,102104101,103101401,201104101,202106101,203002101,204002102,205102104,301102104,302102104,303103103,401102101,402102101,403102101,0,0,0
59,101101122,102103101,103101101,201106101,202108101,203102101,204002103,205102201,301103101,302103101,303103104,401103101,402103101,403103101,0,0,0
