Code,State,Order,Rors,Hight,Direction,Description,Leg,Turn,Method,Speed,MarkType,SkillType,Path,ManActionFile,WomanActionFile,SoundCode,EffectCode,HeadwordCode,Check
10011100,10,1,1,1,0,서있기,0,0,0,1.0 ,0,0,Move,Man_Stand_10011100,Woman_Stand_10011100,0,0,0,
11011100,11,1,1,1,0,키핑,0,0,0,1.0 ,0,0,Move,Man_Keeping_11011100,Woman_Keeping_11011100,0,0,0,
12012100,12,1,2,1,0,달리기,1,0,0,1.0 ,0,0,Move,Man_Run_12012100,Woman_Run_12012100,0,0,0,
12012101,12,1,2,1,1,달리기,2,0,0,1.0 ,0,0,Move,Man_Run_12012101,Woman_Run_12012101,0,0,0,
12012102,12,1,2,1,2,달리기,1,0,0,1.0 ,0,0,Move,Man_Run_12012102,Woman_Run_12012102,0,0,0,
12012103,12,1,2,1,3,달리기,2,0,0,1.0 ,0,0,Move,Man_Run_12012103,Woman_Run_12012103,0,0,0,
12012104,12,1,2,1,4,달리기,1,0,0,1.0 ,0,0,Move,Man_Run_12012104,Woman_Run_12012104,0,0,0,
12012105,12,1,2,1,5,달리기,1,0,0,1.0 ,0,0,Move,Man_Run_12012105,Woman_Run_12012105,0,0,0,
12012106,12,1,2,1,6,달리기,1,0,0,1.0 ,0,0,Move,Man_Run_12012106,Woman_Run_12012106,0,0,0,
12012107,12,1,2,1,7,달리기,2,0,0,1.0 ,0,0,Move,Man_Run_12012107,Woman_Run_12012107,0,0,0,
12022100,12,2,2,1,0,빨리 달리기,1,0,0,1.0 ,0,0,Move,Man_Run_12022100,Man_Run_12022100,0,0,0,
12112100,12,11,2,1,0,패스트 스프린트,1,0,0,1.1 ,0,1913,Move,Man_Run_12112100,Man_Run_12112100,0,0,1913,
13012100,13,1,2,1,0,드리블,1,0,0,1.0 ,0,0,Move,Man_Dribble_13012100,Woman_Dribble_13012100,31301,0,0,
13012101,13,1,2,1,1,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012101,Woman_Dribble_13012101,0,0,0,
13012102,13,1,2,1,2,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012102,Woman_Dribble_13012102,0,0,0,
13012103,13,1,2,1,3,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012103,Woman_Dribble_13012103,0,0,0,
13012104,13,1,2,1,4,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012104,Woman_Dribble_13012104,0,0,0,
13012105,13,1,2,1,5,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012105,Woman_Dribble_13012105,0,0,0,
13012106,13,1,2,1,6,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012106,Woman_Dribble_13012106,0,0,0,
13012107,13,1,2,1,7,드리블,2,0,0,1.2 ,1,0,Move,Man_Dribble_13012107,Woman_Dribble_13012107,0,0,0,
13012200,13,1,2,2,0,드리블,2,0,0,1.0 ,0,0,Move,Man_Dribble_13012200,Woman_Dribble_13012200,31301,0,0,
13012201,13,1,2,2,1,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012201,Woman_Dribble_13012201,0,0,0,
13012202,13,1,2,2,2,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012202,Woman_Dribble_13012202,0,0,0,
13012203,13,1,2,2,3,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012203,Woman_Dribble_13012203,0,0,0,
13012204,13,1,2,2,4,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012204,Woman_Dribble_13012204,0,0,0,
13012205,13,1,2,2,5,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012205,Woman_Dribble_13012205,0,0,0,
13012206,13,1,2,2,6,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012206,Woman_Dribble_13012206,0,0,0,
13012207,13,1,2,2,7,드리블,1,0,0,1.2 ,1,0,Move,Man_Dribble_13012207,Woman_Dribble_13012207,0,0,0,
13022100,13,2,2,1,0,빨리 드리블,1,0,0,1.0 ,0,0,Move,Man_Dribble_13022100,Man_Dribble_13022100,0,0,0,
13022200,13,2,2,2,0,빨리 드리블,2,0,0,1.0 ,0,0,Move,Man_Dribble_13022200,Man_Dribble_13022200,0,0,0,
13112100,13,11,2,1,0,패스트 드리블,1,0,0,1.0 ,0,1914,Move,Man_Dribble_13112100,Man_Dribble_13112100,0,0,1914,
13112200,13,11,2,2,0,패스트 드리블,2,0,0,1.2 ,1,1914,Move,Man_Dribble_13112200,Man_Dribble_13112200,0,0,1914,
13212100,13,21,2,1,0,퍼펙트 드리블,1,0,0,1.0 ,0,1915,Move,Man_Dribble_13212100,Man_Dribble_13212100,0,0,1915,
13212200,13,21,2,2,0,퍼펙트 드리블,2,0,0,1.2 ,1,1915,Move,Man_Dribble_13212200,Man_Dribble_13212200,0,0,1915,
14011100,14,1,1,1,0,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011100,Man_Trapping_14011100,0,0,0,
14011101,14,1,1,1,1,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011101,Man_Trapping_14011101,0,0,0,
14011102,14,1,1,1,2,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011102,Man_Trapping_14011102,0,0,0,
14011103,14,1,1,1,3,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011103,Man_Trapping_14011103,0,0,0,
14011104,14,1,1,1,4,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011104,Man_Trapping_14011104,0,0,0,
14011105,14,1,1,1,5,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011105,Man_Trapping_14011105,0,0,0,
14011106,14,1,1,1,6,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011106,Man_Trapping_14011106,0,0,0,
14011107,14,1,1,1,7,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011107,Man_Trapping_14011107,0,0,0,
14011200,14,1,1,2,0,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011200,Man_Trapping_14011200,0,0,0,
14011201,14,1,1,2,1,트래핑,0,0,8,1.0 ,1,0,Trapping,Man_Trapping_14011201,Man_Trapping_14011201,0,0,0,
