Index,Code,Type,Name,Level,Point,Cash
0,1005,0,¿œπ› ¿Œ√¶∆Æ,5,100,50
1,2005,1,∑πæÓ ¿Œ√¶∆Æ,5,300,100
2,3005,2,Ω∫∆‰º» ¿Œ√¶∆Æ,5,1000,200
3,1010,0,¿œπ› ¿Œ√¶∆Æ,10,200,50
4,2010,1,∑πæÓ ¿Œ√¶∆Æ,10,600,100
5,3010,2,Ω∫∆‰º» ¿Œ√¶∆Æ,10,2000,200
6,1015,0,¿œπ› ¿Œ√¶∆Æ,15,300,100
7,2015,1,∑πæÓ ¿Œ√¶∆Æ,15,900,200
8,3015,2,Ω∫∆‰º» ¿Œ√¶∆Æ,15,3000,400
9,1020,0,¿œπ› ¿Œ√¶∆Æ,20,400,100
10,2020,1,∑πæÓ ¿Œ√¶∆Æ,20,1200,200
11,3020,2,Ω∫∆‰º» ¿Œ√¶∆Æ,20,4000,800
12,1025,0,¿œπ› ¿Œ√¶∆Æ,25,500,100
13,2025,1,∑πæÓ ¿Œ√¶∆Æ,25,1500,300
14,3025,2,Ω∫∆‰º» ¿Œ√¶∆Æ,25,5000,1000
15,1030,0,¿œπ› ¿Œ√¶∆Æ,30,600,100
16,2030,1,∑πæÓ ¿Œ√¶∆Æ,30,1800,400
17,3030,2,Ω∫∆‰º» ¿Œ√¶∆Æ,30,6000,1200
18,1035,0,¿œπ› ¿Œ√¶∆Æ,35,700,100
19,2035,1,∑πæÓ ¿Œ√¶∆Æ,35,2100,500
20,3035,2,Ω∫∆‰º» ¿Œ√¶∆Æ,35,7000,1400
21,1040,0,¿œπ› ¿Œ√¶∆Æ,40,800,200
22,2040,1,∑πæÓ ¿Œ√¶∆Æ,40,2400,500
23,3040,2,Ω∫∆‰º» ¿Œ√¶∆Æ,40,8000,1600
24,1045,0,¿œπ› ¿Œ√¶∆Æ,45,900,200
25,2045,1,∑πæÓ ¿Œ√¶∆Æ,45,2700,600
26,3045,2,Ω∫∆‰º» ¿Œ√¶∆Æ,45,9000,1800
27,1050,0,¿œπ› ¿Œ√¶∆Æ,50,1000,200
28,2050,1,∑πæÓ ¿Œ√¶∆Æ,50,3000,600
29,3050,2,Ω∫∆‰º» ¿Œ√¶∆Æ,50,10000,2000
30,1055,0,¿œπ› ¿Œ√¶∆Æ,55,1100,200
31,2055,1,∑πæÓ ¿Œ√¶∆Æ,55,3300,800
32,3055,2,Ω∫∆‰º» ¿Œ√¶∆Æ,55,11000,2500
33,1060,0,¿œπ› ¿Œ√¶∆Æ,60,1500,300
34,2060,1,∑πæÓ ¿Œ√¶∆Æ,60,4000,1000
35,3060,2,Ω∫∆‰º» ¿Œ√¶∆Æ,60,15000,3000
36,1065,0,¿œπ› ¿Œ√¶∆Æ,65,2000,500
37,2065,1,∑πæÓ ¿Œ√¶∆Æ,65,5000,1500
38,3065,2,Ω∫∆‰º» ¿Œ√¶∆Æ,65,20000,5000
