Code,Name
0,NONE
1,ESCAPE
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,MINUS
13,EQUALS
14,BACK
15,TAB
16,Q
17,W
18,E
19,R
20,T
21,Y
22,U
23,I
24,O
25,P
26,LBRACKET
27,RBRACKET
28,RETURN
29,LCONTROL
30,A
31,S
32,D
33,F
34,G
35,H
36,J
37,K
38,L
39,SEMICOLON
40,APOSTROPHE
41,GRAVE
42,LSHIFT
43,BACKSLASH
44,Z
45,X
46,C
47,V
48,B
49,N
50,M
51,COMMA
52,PERIOD
53,SLASH
54,RSHIFT
55,MULTIPLY
56,LMENU
57,SPACE
58,CAPITAL
59,F1
60,F2
61,F3
62,F4
63,F5
64,F6
65,F7
66,F8
67,F9
68,F10
69,NUMLOCK
70,SCROLL
71,NUMPAD7
72,UP
73,NUMPAD9
74,SUBTRACT
75,LEFT
76,NUMPAD5
77,RIGHT
78,ADD
79,NUMPAD1
80,DOWN
81,NUMPAD3
82,NUMPAD0
83,DECIMAL
84,OEM_102
85,F11
86,F12
87,F13
88,F14
89,F15
90,KANA
91,ABNT_C1
92,CONVERT
93,NOCONVERT
94,YEN
95,ABNT_C2
96,NUMPADEQUALS
97,PREVTRACK
98,AT
99,COLON
100,UNDERLINE
101,KANJI
102,STOP
103,AX
104,UNLABELED
105,NEXTTRACK
106,NUMPADENTER
107,RCONTROL
108,MUTE
109,CALCULATOR
110,PLAYPAUSE
111,MEDIASTOP
112,VOLUMEDOWN
113,VOLUMEUP
114,WEBHOME
115,NUMPADCOMMA
116,DIVIDE
117,SYSRQ
118,RMENU
119,PAUSE
120,HOME
121,UP
122,PRIOR
123,LEFT
124,RIGHT
125,END
126,DOWN
127,NEXT
128,INSERT
129,DELETE
130,LWIN
131,RWIN
132,APPS
133,POWER
134,SLEEP
135,WAKE
136,WEBSEARCH
137,WEBFAVORITES
138,WEBREFRESH
139,WEBSTOP
140,WEBFORWARD
141,WEBBACK
142,MYCOMPUTER
143,MAIL
144,MEDIASELECT
222,UP
223,PGUP
225,LEFT
227,RIGHT
230,DOWN
231,PGDN
232,INSERT
233,DELETE
