Code,UiFile,Kor,Eng,Arg
10001,Font,???,Arial,Arial
10002,Size,12,12,12
20001,Login.ui,???,LOGIN,ÏÎæá
20002,Login.ui,???,Account,ÇáÍÓÇÈ
20003,Login.ui,????,Password,ßáãÉÇáÓÑ
30001,ChoiceTrio.ui,????,Game Option,ÎíÇÑÇÊ ÇááÚÈÉ
30002,ChoiceTrio.ui,????,Quit,ÎÑæÌ
30003,ChoiceTrio.ui,?? ???,The latest deleted,ÇÎÑ ÔíÁ Êã ÍĞİå
30004,ChoiceTrio.ui,?? ???,The latest connected,ÇÎÑ ÇÊÕÇá Êã
30005,ChoiceTrio.ui,??,Coins,ŞØÚ ÇáäŞÏíÉ
30006,ChoiceTrio.ui,???,Points,äŞÇØ
30007,ChoiceTrio.ui,???,Credits,ÇáÑÕíÏ
30008,ChoiceTrio.ui,???? ?? ????????\???? ???(7??)? ???????,"Are you sure want to delete character? \ Please, Input the password.",åá ÇäÊ ãÊÃßÏ ãä ÑÛÈÊß İí ÍĞİ ÇáÔÎÕíÉ¿  ÑÌÇÁ ÇÏÎá ßáãÉ ÇáÓÑ
40001,Choice.ui,?? ??,Invite,ÏÚæÉ
40002,Choice.ui,??? ??,Message,ÑÓÇáÉ
40003,Choice.ui,???,Position,ãÑßÒ
40004,Choice.ui,??,Lv.,Lv. ãÓÊæì
40005,Choice.ui,????,Name,ÇáÇÓã
40006,Choice.ui,??,Comment,ÊÚáíŞ
50001,ChoiceClass.ui,????,Back,Îáİ
50002,ChoiceClass.ui,????,Tutorial,Ïáíá ÊÚáíãí
50003,ChoiceClass.ui,Exp,EXP,EXP
50004,ChoiceClass.ui,?%s?? ??? ?????\??? ???? ?? ??? ?????!! ?? ??? ???? ??.\??? ???? ??? ???? ???. ?? ?? ?? ??? ?????.,"?%s?, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match.",?%s? ßíİ ßÇäÊ ÇáãÈÇÑÇÉ ¿ ÃäÊ ÊÕäÚ ÌíÏÇ!!! ÍÓäÇ ÏÚäÇ äÎÊÇÑ ãÑßÒÇ áß İí åĞå ÇáäŞØÉ ÊÎÊÇÑ ãÑßÒÇ áÔÎÕíÊß æåĞÇ ÊÍáíá áãÈÇÑÇÊß ÇáÓÇÈŞÉ
50005,ChoiceClass.ui,?%s??? ?? ???? ?????!\FW ???? ?????? ??? ???? ?? ???? ?????. ??? ????,"?%s?, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?",?%s? ÊÓÏíÏÉ ÌíÏÉ! åá ÊÍÈ ãÑßÒ ÇáåÌæã¿ Çäå ÇáãÑßÒ áÕäÚ ÇáÃåÏÇİ ÑÇÆÚ ÃáíÓ ßĞáß ¿
