Code,UiFile,Korean,English
10001,Font,나눔고딕 Bold,Arial
10002,Size,13,14
20001,Login.ui,로그인,LOGIN
20002,Login.ui,아이디,Account
20003,Login.ui,패스워드,Password
30001,ChoiceTrio.ui,게임옵션,Game Option
30002,ChoiceTrio.ui,게임종료,Quit
30003,ChoiceTrio.ui,최종 삭제일,The latest deleted
30004,ChoiceTrio.ui,최근 접속일,The latest connected
30005,ChoiceTrio.ui,코인,Credits
30006,ChoiceTrio.ui,포인트,Points
30007,ChoiceTrio.ui,크레딧,Credits
30008,ChoiceTrio.ui,캐릭터를 삭제 하시겠습니니까?\주민번호 뒷자리(7자리)를 입력하여주세요,"Are you sure want to delete character? \ Please, Enter the password."
40001,Choice.ui,초대 하기,Invite
40002,Choice.ui,메시지 입력,Message
40003,Choice.ui,포지션,Position
40004,Choice.ui,레벨,Lv.
40005,Choice.ui,캐릭터명,Name
40006,Choice.ui,멘트,Comment
50001,ChoiceClass.ui,이전화면,Back
50002,ChoiceClass.ui,튜토리얼,Tutorial
50003,ChoiceClass.ui,Exp,EXP
50004,ChoiceClass.ui,『%s』님 경기는 어땠나요?\옆에서 지켜보니 정말 멋있게 해내던데요!! 이제 전직을 해보도록 해요.\자신의 포지션과 특성을 결정하는 일이죠. 제가 지난 경기 분석을 가져왔어요.,"『%s』, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match."
50005,ChoiceClass.ui,『%s』님은 슛에 일가견이 있으시네요!\FW 포지션이 어떠신가요? 공격을 전담해서 골을 기록하는 포지션이죠. 멋지지 않나요?,"『%s』, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?"
50006,ChoiceClass.ui,『%s』님은 패스에 일가견이 있으시네요!\MF 포지션이 어떠신가요? 팀의 공격과 수비 모두에 관여하는 똑똑한 살림꾼 역할이죠?,"『%s』, What a nice pass!\Do you like MF position? This position involved in both Striker & Defender positions."
50007,ChoiceClass.ui,『%s』님은 수비 능력이 뛰어나세요!\DF 포지션이 어떠신가요? 팀을 실점의 위기에서 구해내는 포지션이죠. 신나지 않나요?,"『%s』, What a nice defense!\Do you like DF position? It's the position not to lose the goal. Isn't great?"
