Code,Type,AniCode,Direction,LocX,LocY,LocZ,RotX,RotY,RotZ,Scale
1000,1,10011100,0,0,0,0,0,0,0,1
1001,1,10011100,4,0,0,0,0,0,180,1
1002,1,10011100,0,0,0,0,0,0,0,1
1003,1,10011100,0,2,0,0,0,0,0,1
2000,2,10011100,0,0,0,0,0,0,0,1
2001,2,10011100,0,0,0,0,0,0,0,1
3000,3,10011100,0,0,0,0,0,0,0,1
3001,3,10011100,0,0,0,0,0,0,0,1
4000,4,10011100,0,0,0,0,0,0,0,1
4101,4,10011100,0,-3,0,0,0,0,0,1
4102,4,10011100,0,-2,0,0,0,0,0,1
4103,4,10011100,0,-1,0,0,0,0,0,1
4104,4,10011100,0,-3,-1,0,0,0,0,1
4105,4,10011100,0,-2,-1,0,0,0,0,1
4106,4,10011100,0,-1,-1,0,0,0,0,1
4201,4,10011100,0,1,0,0,0,0,0,1
4202,4,10011100,0,2,0,0,0,0,0,1
4203,4,10011100,0,3,0,0,0,0,0,1
4204,4,10011100,0,1,-1,0,0,0,0,1
4205,4,10011100,0,2,-1,0,0,0,0,1
4206,4,10011100,0,3,-1,0,0,0,0,1
5000,5,10011100,0,0,0,0,0,0,0,1
5101,5,10011100,4,0,0,0,0,0,180,1
5102,5,10011100,0,0,-5,0,0,0,0,1
5103,5,10011100,2,-10,7,0,0,0,90,1
5104,5,10011100,2,-10,-7,0,0,0,90,1
5105,5,10011100,2,-20,0,0,0,0,90,1
5106,5,10011100,2,-28,0,0,0,0,90,1
5111,5,10011100,2,-10,7,0,0,0,90,1
5112,5,10011100,2,-10,-7,0,0,0,90,1
5113,5,10011100,2,-15,10,0,0,0,90,1
5114,5,10011100,2,-15,-10,0,0,0,90,1
5115,5,10011100,2,-20,0,0,0,0,90,1
5116,5,10011100,2,-28,0,0,0,0,90,1
5201,5,10011100,4,0,0,0,0,0,180,1
5202,5,10011100,0,0,-5,0,0,0,0,1
5203,5,10011100,6,10,7,0,0,0,270,1
5204,5,10011100,6,10,-7,0,0,0,270,1
5205,5,10011100,6,20,0,0,0,0,270,1
5206,5,10011100,6,28,0,0,0,0,270,1
5211,5,10011100,6,10,7,0,0,0,270,1
5212,5,10011100,6,10,-7,0,0,0,270,1
5213,5,10011100,6,15,10,0,0,0,270,1
5214,5,10011100,6,15,-10,0,0,0,270,1
5215,5,10011100,6,20,0,0,0,0,270,1
5216,5,10011100,6,28,0,0,0,0,270,1
6000,6,10011100,0,0,0,0,0,0,0,1
6101,6,10011100,4,0,0,0,0,0,180,1
6102,6,10011100,0,0,-5,0,0,0,0,1
6103,6,10011100,2,-10,7,0,0,0,90,1
6104,6,10011100,2,-10,-7,0,0,0,90,1
6105,6,10011100,2,-20,0,0,0,0,90,1
6106,6,10011100,2,-28,0,0,0,0,90,1
6111,6,10011100,2,-10,7,0,0,0,90,1
6112,6,10011100,2,-10,-7,0,0,0,90,1
6113,6,10011100,2,-15,10,0,0,0,90,1
6114,6,10011100,2,-15,-10,0,0,0,90,1
6115,6,10011100,2,-20,0,0,0,0,90,1
6116,6,10011100,2,-32,0,0,0,0,90,1
6201,6,10011100,4,0,0,0,0,0,180,1
6202,6,10011100,0,0,-5,0,0,0,0,1
6203,6,10011100,6,10,7,0,0,0,270,1
6204,6,10011100,6,10,-7,0,0,0,270,1
6205,6,10011100,6,20,0,0,0,0,270,1
6206,6,10011100,6,28,0,0,0,0,270,1
6211,6,10011100,6,10,7,0,0,0,270,1
6212,6,10011100,6,10,-7,0,0,0,270,1
6213,6,10011100,6,15,10,0,0,0,270,1
6214,6,10011100,6,15,-10,0,0,0,270,1
6215,6,10011100,6,20,0,0,0,0,270,1
6216,6,10011100,6,32,0,0,0,0,270,1
7000,7,10011100,0,0,0,0,0,0,0,1
7001,7,10011100,0,0,0,0,0,0,0,1
110000,11,71011100,0,0,0,0,0,0,0,1
160100,16,10011100,2,10,0,0,0,0,90,1
160101,16,10011100,6,28,0,0,0,0,270,1
160102,16,10011100,6,30,10,0,0,0,270,1
160200,16,10011100,2,20,0,0,0,0,90,1
160201,16,10011100,2,28,-13,0,0,0,90,1
160202,16,10011100,2,5,-7,0,0,0,90,1
160203,16,10011100,2,28,0,0,0,0,90,1
160204,16,10011100,2,30,10,0,0,0,90,1
160300,16,10011100,2,10,0,0,0,0,90,1
160301,16,10011100,2,23,-7,0,0,0,90,1
160302,16,10011100,2,23,7,0,0,0,90,1
160303,16,10011100,2,28,0,0,0,0,90,1
160304,16,10011100,2,30,10,0,0,0,90,1
160400,16,10011100,2,0,0,0,0,0,90,1
160401,16,10011100,2,20,-10,0,0,0,90,1
160402,16,10011100,2,20,10,0,0,0,90,1
160403,16,10011100,2,28,0,0,0,0,90,1
160404,16,10011100,2,30,10,0,0,0,90,1
160500,16,10011100,2,0,0,0,0,0,90,1
160501,16,10011100,2,25,0,0,0,0,90,1
160502,16,10011100,2,30,10,0,0,0,90,1
160600,16,10011100,2,-20,0,0,0,0,90,1
160601,16,10011100,2,-28,0,0,0,0,90,1
160602,16,10011100,2,-20,-5,0,0,0,90,1
160603,16,10011100,2,-28,-15,0,0,0,90,1
160604,16,10011100,2,30,10,0,0,0,90,1
170100,17,10011100,2,5,5,0,0,0,90,1
170101,17,10011100,2,5,-5,0,0,0,90,1
170102,17,10011100,2,-5,-5,0,0,0,90,1
170103,17,10011100,2,-28,0,0,0,0,90,1
170104,17,10011100,2,28,0,0,0,0,90,1
170200,17,10011100,2,0,0,0,0,0,90,1
170201,17,10011100,2,-28,0,0,0,0,90,1
170202,17,10011100,2,5,-5,0,0,0,90,1
170203,17,10011100,2,-5,-5,0,0,0,90,1
170204,17,10011100,2,-5,5,0,0,0,90,1
170205,17,10011100,2,28,0,0,0,0,90,1
170300,17,10011100,2,0,0,0,0,0,90,1
170301,17,10011100,2,15,5,0,0,0,90,1
170302,17,10011100,2,15,-5,0,0,0,90,1
170303,17,10011100,2,-25,-5,0,0,0,90,1
170304,17,10011100,2,-28,0,0,0,0,90,1
170305,17,10011100,2,15,-5,0,0,0,90,1
170306,17,10011100,2,-15,-5,0,0,0,90,1
170307,17,10011100,2,-25,5,0,0,0,90,1
170308,17,10011100,2,28,0,0,0,0,90,1
