Code,Name,DataFile,CameraFile,LightFile,SkyFile,ObjectNodeName,EffectNodeName,GroundFile5,GroundFile6,Collision5,Collision6,Goalpost5,Goalpost6,Floor5,Floor6,Pannel5,Pannel6,LightMapHint
1001,Æ®¸®¿À¸Ê,UI_Select,-,Light_Dam_Daylight,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,·¹µð·ë¸Ê,UI_Wait,-,Light_Dam_Daylight,-,-,-,-,-,-,-,-,-,-,-,-,-,DayLight
2002,ÆÀ·¹µð·ë¸Ê,UI_Wait_Team,-,Light_Dam_Daylight,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3001,¾ÆÀÌÅÛ»óÁ¡¸Ê,UI_ItemShop,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4001,°á°úÃ¢¸Ê,UI_Result,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5001,Ä³¸¯»ý¼º,UI_Map,-,Light_Dam_Daylight,-,,-,-,-,-,-,-,-,-,-,-,-,DayLight
6001,Æ©Åä¸®¾ó,UI_Tuto,-,Light_Dam_Daylight,Sky_Dam_Daylight,-,-,Ground_Tuto_0_Daylight,-,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,-
7001,Ä³¸¯»ý¼º,UI_Create,-,Light_Dam_Daylight,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9001,¶«(³·),Map_Dam,-,Light_Dam_Daylight,Sky_Dam_Daylight,Effect_Night,Effect_Alltime_water,Ground_Dam_0_Daylight,Ground_Dam_1_Daylight,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,DayLight
9002,¶«(³ëÀ»),Map_Dam,-,Light_Dam_Sunset,Sky_Dam_Sunset,Effect_Night,Effect_Alltime_water,Ground_Dam_0_Sunset,Ground_Dam_1_Sunset,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Sunset
9003,¶«(¹ã),Map_Dam,-,Light_Dam_Night,Sky_Dam_Night,-,Effect_Alltime_water,Ground_Dam_0_Night,Ground_Dam_1_Night,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Night
9004,¶«(»õº®),Map_Dam,-,Light_Dam_Dawn,Sky_Dam_Dawn,Effect_Night,Effect_Alltime_water,Ground_Dam_0_Dawn,Ground_Dam_1_Dawn,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Dawn
9005,¶«(Èå¸²),Map_Dam,-,Light_Dam_Cloudy,Sky_Dam_Cloudy,Effect_Night,Effect_Alltime_water,Ground_Dam_0_Cloudy,Ground_Dam_1_Cloudy,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Cloudy
9101,±ÃÀü(³·),Map_Palace,-,Light_Dam_Daylight,Sky_Dam_Daylight,Effect_Night,Effect_Alltime_water,Ground_Palace_0_Daylight,Ground_Palace_1_Daylight,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,DayLight
9102,±ÃÀü(³ëÀ»),Map_Palace,-,Light_Dam_Sunset,Sky_Dam_Sunset,Effect_Night,Effect_Alltime_water,Ground_Palace_0_Sunset,Ground_Palace_1_Sunset,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Sunset
9103,±ÃÀü(¹ã),Map_Palace,-,Light_Dam_Night,Sky_Dam_Night,-,Effect_Alltime_water,Ground_Palace_0_Night,Ground_Palace_1_Night,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Night
9104,±ÃÀü(»õº®),Map_Palace,-,Light_Dam_Dawn,Sky_Dam_Dawn,Effect_Night,Effect_Alltime_water,Ground_Palace_0_Dawn,Ground_Palace_1_Dawn,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Dawn
9105,±ÃÀü(Èå¸²),Map_Palace,-,Light_Dam_Cloudy,Sky_Dam_Cloudy,Effect_Night,Effect_Alltime_water,Ground_Palace_0_Cloudy,Ground_Palace_1_Cloudy,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,Cloudy
9201,¶«(³·),Map_Down,-,Light_Dam_Daylight,Sky_Dam_Daylight,Effect_Night,Effect_Alltime_water,Ground_Down_0_Daylight,Ground_Down_1_Daylight,Collision_0,Collision_1,Goalpost_Dam_0,Goalpost_Dam_1,Floor_0,Floor_1,Pannel_0,Pannel_1,DayLight
