Index,Code,Type,Kind,Reward,Value,Rate,Text
0,100001,1,1,12,200,10,1점차 이상 승리하시오
1,100002,1,2,12,400,10,2점차 이상 승리하시오
2,100003,1,3,12,800,10,3점차 이상 승리하시오
3,100004,1,4,12,1000,10,4점차 이상 승리하시오
4,100005,1,5,12,2000,10,5점차 이승 승리하시오
5,200051,2,51,12,200,10,점유율 51% 이상하시오
6,200060,2,60,12,500,10,점유율 60% 이상하시오
7,200070,2,70,12,1000,10,점유율 70% 이상하시오
8,200080,2,80,12,2000,10,점유율 80% 이상하시오
9,300010,3,10,12,200,10,팀 커팅 10 이상하시오
10,300015,3,15,12,400,10,팀 커팅 15 이상하시오
11,300020,3,20,12,1000,10,팀 커팅 20 이상하시오
12,300025,3,25,12,2000,10,팀 커팅 25 이상하시오
13,400006,4,6,15,100,10,개인평점 6.0 이상 달성하시오
14,400007,4,7,15,150,10,개인평점 7.0 이상 달성하시오
15,400008,4,8,15,200,10,개인평점 8.0 이상 달성하시오
16,400009,4,9,15,250,10,개인평점 9.0 이상 달성하시오
