Index,Code,Option0_0,Option0_1,Option0_2,Option1_0,Option1_1,Option1_2,Option2_0,Option2_1,Option2_2,Description
0,102001,190001,200001,270001,0,0,0,0,0,0,머리: 헤딩슛/단거리슛/방어
1,102005,190005,200005,270005,0,0,0,0,0,0,머리: 헤딩슛/단거리슛/방어
2,102010,190010,200010,270010,0,0,0,0,0,0,머리: 헤딩슛/단거리슛/방어
3,103001,130001,140001,150001,0,0,0,0,0,0,문신: 근련/탄력/몸싸움
4,103005,130005,140005,150005,0,0,0,0,0,0,문신: 근련/탄력/몸싸움
5,103010,130010,140010,150010,0,0,0,0,0,0,문신: 근련/탄력/몸싸움
6,201001,200001,210001,250001,0,0,0,0,0,0,상의: 단거리슛/중거리슛/캐칭
7,201005,200005,210005,250005,0,0,0,0,0,0,상의: 단거리슛/중거리슛/캐칭
8,201010,200010,210010,250010,0,0,0,0,0,0,상의: 단거리슛/중거리슛/캐칭
9,202001,190001,210001,260001,0,0,0,0,0,0,하의: 헤딩슛/중거리슛/펀칭
10,202005,190005,210005,260005,0,0,0,0,0,0,하의: 헤딩슛/중거리슛/펀칭
11,202010,190010,210010,260010,0,0,0,0,0,0,하의: 헤딩슛/중거리슛/펀칭
12,203001,130001,140001,150001,0,0,0,0,0,0,장갑: 근련/탄력/몸싸움
13,203005,130005,140005,150005,0,0,0,0,0,0,장갑: 근련/탄력/몸싸움
14,203010,130010,140010,150010,0,0,0,0,0,0,장갑: 근련/탄력/몸싸움
15,204001,100001,110001,120001,0,0,0,0,0,0,신발: 달리기/드리블/순발력
16,204005,100005,110005,120005,0,0,0,0,0,0,신발: 달리기/드리블/순발력
17,204010,100010,110010,120010,0,0,0,0,0,0,신발: 달리기/드리블/순발력
18,205001,100001,110001,120001,0,0,0,0,0,0,양말: 달리기/드리블/순발력
19,205005,100005,110005,120005,0,0,0,0,0,0,양말: 달리기/드리블/순발력
20,205010,100010,110010,120010,0,0,0,0,0,0,양말: 달리기/드리블/순발력
21,301001,160001,170001,180001,0,0,0,0,0,0,안경: 크로스/숏패스/롱패스
22,301005,160005,170005,180005,0,0,0,0,0,0,안경: 크로스/숏패스/롱패스
23,301010,160010,170010,180010,0,0,0,0,0,0,안경: 크로스/숏패스/롱패스
24,302001,160001,170001,180001,0,0,0,0,0,0,귀걸이: 크로스/숏패스/롱패스
25,302005,160005,170005,180005,0,0,0,0,0,0,귀걸이: 크로스/숏패스/롱패스
26,302010,160010,170010,180010,0,0,0,0,0,0,귀걸이: 크로스/숏패스/롱패스
