Code,Name,PosName,Position,Level,Gender,Order,Run,Dribble,Quick,Strength,Elasticity,Bodycheck,Cross,Shortpass,Longpass,Heading,Shortshoot,Longshoot,Keeping,Tackle,Steal,Catch,Punch,Guard,Skin,Face,Hair,Shirts,Pants,Glove,Shoes
1001101,공격수,FW,10,1,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1002101,공격수,FW,10,2,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1003101,공격수,FW,10,3,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1004101,공격수,FW,10,4,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1005101,공격수,FW,10,5,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1006101,공격수,FW,10,6,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1007101,공격수,FW,10,7,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1008101,공격수,FW,10,8,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1009101,공격수,FW,10,9,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1010101,공격수,FW,10,10,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1011101,공격수,FW,10,11,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1012101,공격수,FW,10,12,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1013101,공격수,FW,10,13,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1014101,공격수,FW,10,14,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1015101,공격수,FW,10,15,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1016101,공격수,FW,10,16,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1017101,공격수,FW,10,17,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1018101,공격수,FW,10,18,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1019101,공격수,FW,10,19,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1020101,공격수,FW,10,20,1,1,59,49,30,30,50,30,55,60,55,35,80,20,49,15,20,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1021101,공격수,FW,10,21,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1022101,공격수,FW,10,22,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1023101,공격수,FW,10,23,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1024101,공격수,FW,10,24,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1025101,공격수,FW,10,25,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1026101,공격수,FW,10,26,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
1027101,공격수,FW,10,27,1,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,1110111,1210111,2110111,2200111,2300111,2400111
